converged,elapsed_s,gmres_iterations,minimum_singular_value,newton_iterations,preconditioner,selected_for_production,setup_s
1,1.0372752969997237,481,,14,diagonal,1,0.0
1,3.713798947000214,1362,1.7777358389364368,14,harmonic,0,0.1895197769999868
