check,tool,absolute_residual,relative_residual
exact_edge_identity,SymPy exact,0,0
same_event_energy,SymPy exact,0,0
100_digit_edge_identity,mpmath 100 dps,2.214002636799604715903397e-101,2.214002636799604715903397e-101
float64_stable_escape_vs_100_digit,NumPy expm1 versus mpmath 100 dps,4.881501595210849143738547e-16,4.881501595210849143738547e-16
