virtual_index,energy_eV,frequency_Hz,tau,A_photons_per_H_per_dlnnu_per_occupation,Dfplus,Dfbar,Dfeq,Dfminus,transport_flux_sInv_per_H,collision_flux_sInv_per_H,direct_flux_sInv_per_H,schur_flux_sInv_per_H
98,10.008339,2420005603313892.5,0.0015506040009624085,52839982854651.734,1.00212859913786e-14,1.0025929970091565e-14,1.601427884323309e-14,1.0030571549100453e-14,2.4383529657454452e-17,2.438352965745348e-17,2.4383529657454452e-17,2.4383529657454452e-17
99,10.017558,2422234747596170.5,0.0016536683109246914,52986135173934.18,9.913582134818838e-15,9.918161237961284e-15,1.5454750899695837e-14,9.922737817693042e-15,2.4108983241821395e-17,2.4108983241820618e-17,2.4108983241821395e-17,2.4108983241821395e-17
100,10.023854,2423757113622987.5,0.01104082392253655,53086102776173.8,9.836886452132065e-15,9.841877705133006e-15,1.0744362036633185e-14,9.846850622729007e-15,2.6287416636433154e-17,2.6287416636432054e-17,2.6287416636433154e-17,2.6287416636433154e-17
101,10.031818,2425682800255383.5,0.011795387038514656,53212734821211.21,9.747373721854111e-15,9.750266726449495e-15,1.0239835810774083e-14,9.75314837868581e-15,1.527100680801124e-17,1.5271006808011664e-17,1.527100680801124e-17,1.527100680801124e-17
102,10.039597,2427563754086801.5,0.013651971870869788,53336619524226.305,9.656524009057027e-15,9.661401512569303e-15,1.0374328679906453e-14,9.666256870691492e-15,2.579835094824083e-17,2.5798350948242285e-17,2.579835094824083e-17,2.579835094824083e-17
103,10.047192,2429400216916165.5,0.014695182000108378,53457759293936.984,9.572765393329442e-15,9.575388949442748e-15,9.931580009840623e-15,9.577999685788801e-15,1.390575732890735e-17,1.390575732890679e-17,1.390575732890735e-17,1.390575732890735e-17
104,10.054603,2431192188743474.5,0.017114763931587475,53576140952971.09,9.487156510372912e-15,9.49196591796077e-15,1.0052385921215608e-14,9.496747966431158e-15,2.5537705853595923e-17,2.5537705853596512e-17,2.5537705853595923e-17,2.5537705853595923e-17
105,10.061829,2432939427769804.5,0.018578686764598534,53691735618476.516,9.40889064486075e-15,9.4112743367061e-15,9.667087217838263e-15,9.413643312249654e-15,1.2681504352383744e-17,1.2681504352382026e-17,1.2681504352379534e-17,1.2681504352379534e-17
106,10.068871,2434642175794081.0,0.02177322751048428,53804546684105.83,9.32824745220974e-15,9.333035614984669e-15,9.771266475210555e-15,9.337789152431553e-15,2.5513536119344486e-17,2.5513536119343768e-17,2.5513536119344486e-17,2.5513536119344486e-17
107,10.075729,2436300432816303.0,0.023858813679772904,53914561886929.04,9.255220326114327e-15,9.257393423980766e-15,9.438835045197142e-15,9.259549307948684e-15,1.159892537427585e-17,1.1598925374276516e-17,1.159892537427585e-17,1.159892537427585e-17
108,10.082402,2437913957037546.0,0.028158937499194757,54021753196492.016,9.179266701929563e-15,9.184083034494276e-15,9.524567091972012e-15,9.188854371223551e-15,2.573994593975177e-17,2.5739945939750448e-17,2.573994593975177e-17,2.573994593975177e-17
109,10.088891,2439482990256735.0,0.03117772942462606,54126124996742.55,9.11125644552854e-15,9.113247824389142e-15,9.24033114806914e-15,9.115218615008618e-15,1.0657758986248546e-17,1.065775898624808e-17,1.0657758986248546e-17,1.0657758986248546e-17
110,10.095196,2441007532473869.5,0.037058984982244275,54227665949397.33,9.039714939280672e-15,9.044611882629559e-15,9.307267956130295e-15,9.049448706764031e-15,2.6231781745234396e-17,2.6231781745234584e-17,2.6231781745234396e-17,2.6231781745234396e-17
111,10.101317,2442487583688949.5,0.04151256056099372,54326365025942.93,8.976492719114073e-15,8.97833266054645e-15,9.066368624907146e-15,8.980147317416142e-15,9.866797291014269e-18,9.866797291015605e-18,9.866797291014269e-18,9.866797291014269e-18
112,10.107253,2443922902103051.5,0.04976577756859299,54422195355238.375,8.909109227113273e-15,8.914145557930559e-15,9.114882030397206e-15,8.919099033751953e-15,2.701836407343452e-17,2.701836407343354e-17,2.7018364073430252e-17,2.701836407343452e-17
113,10.113004,2445313487716174.5,0.05646344777810469,54515146476145.48,8.850483560753977e-15,8.852203760540124e-15,8.912567183167258e-15,8.853891887715192e-15,9.23388249660897e-18,9.233882496608998e-18,9.23388249660897e-18,9.23388249660897e-18
114,10.118572,2446659824126167.5,0.06827033541761982,54605240622935.88,8.786984448324548e-15,8.79222627451789e-15,8.944059663478003e-15,8.797350164716448e-15,2.812934100258963e-17,2.8129341002591214e-17,2.812934100258963e-17,2.812934100258963e-17
115,10.123955,2447961427735181.5,0.07860152726936723,54692435657498.81,8.732724228050541e-15,8.734363767691076e-15,8.775542131485354e-15,8.735960910335226e-15,8.797377856376274e-18,8.797377856375222e-18,8.797377856371985e-18,8.797377856371985e-18
116,10.129153,2449218298543217.5,0.09601901924082715,54776722066562.38,8.672858185996902e-15,8.678385790764205e-15,8.791708174332463e-15,8.683739290125159e-15,2.96206726453075e-17,2.9620672645309236e-17,2.96206726453075e-17,2.96206726453075e-17
117,10.134168,2450430920148123.0,0.11234029327159428,54858123134858.914,8.622745827458022e-15,8.624353403299968e-15,8.652447257068747e-15,8.625901899229537e-15,8.604263981766077e-18,8.604263981763706e-18,8.604263981761777e-18,8.604263981761777e-18
118,10.138998,2451598808952050.0,0.1389773239362997,54936597570584.18,8.566196414942548e-15,8.572116031505267e-15,8.655376339312035e-15,8.577767709711645e-15,3.159145480329552e-17,3.1591454803295046e-17,3.159145480329552e-17,3.159145480329552e-17
119,10.143643,2452721964954998.5,0.1656174032958301,55012136816158.55,8.520006099649645e-15,8.52165174912377e-15,8.540991076626614e-15,8.523209028852153e-15,8.756524436055477e-18,8.75652443605663e-18,8.756524436055477e-18,8.756524436055477e-18
120,10.148105,2453800871754816.5,0.2077579729780958,55084765203836.76,8.466448867696515e-15,8.472902387380178e-15,8.532950015138081e-15,8.47892424112164e-15,3.415159308628959e-17,3.4151593086288347e-17,3.415159308628527e-17,3.415159308628527e-17
121,10.152382,2454835045753656.0,0.25295311823139077,55154442305875.14,8.423841565827317e-15,8.425646648071669e-15,8.439341953994072e-15,8.427305836165522e-15,9.495507547467638e-18,9.495507547467981e-18,9.495507547467638e-18,9.495507547467638e-18
122,10.156475,2455824728750442.0,0.3230094823839436,55221176838531.38,8.372901038251756e-15,8.380099123725368e-15,8.422394960944812e-15,8.386562994739004e-15,3.749250568608252e-17,3.7492505686082885e-17,3.749250568607819e-17,3.749250568608252e-17
123,10.160383,2456769678946248.5,0.4032050033993774,55284945244427.234,8.333405980967482e-15,8.335597040710918e-15,8.345782625454993e-15,8.337512859698842e-15,1.128352182634888e-17,1.1283521826349385e-17,1.1283521826344545e-17,1.1283521826344545e-17
124,10.164107,2457670138140001.0,0.5260220137122525,55345756910246.2,8.284658791531467e-15,8.292910892404249e-15,8.32176806174991e-15,8.299838297860708e-15,4.175109683519748e-17,4.1751096835195225e-17,4.1751096835188803e-17,4.175109683519314e-17
125,10.167647,2458526106331699.0,0.67653623913238,55403605245958.85,8.247386823732019e-15,8.250468048603874e-15,8.258660136027895e-15,8.25292906774851e-15,1.5259825937486784e-17,1.5259825937486097e-17,1.525982593748244e-17,1.525982593748244e-17
126,10.171002,2459337341722418.5,0.907557941767811,55458467625583.22,8.200491289758089e-15,8.210234655469592e-15,8.22891824368413e-15,8.217447728622911e-15,4.673351253345176e-17,4.673351253345296e-17,4.673351253344306e-17,4.673351253345176e-17
127,10.174173,2460104086111083.5,1.2103597417866832,55510354440807.62,8.163702062966937e-15,8.168876774491818e-15,8.176020413604293e-15,8.172348436158528e-15,2.385249905073186e-17,2.3852499050733032e-17,2.3852499050727507e-17,2.3852499050727507e-17
128,10.17716,2460826339497694.5,1.6833732834752935,55559260070648.305,8.118498141842628e-15,8.130425771640343e-15,8.14160043147646e-15,8.13730926566267e-15,5.193942120953075e-17,5.193942120953513e-17,5.1939421209522036e-17,5.193942120953075e-17
129,10.179962,2461503860083326.5,2.3525208395535104,55605162830955.07,8.079584470335303e-15,8.08930063889053e-15,8.095373846688483e-15,8.093871818242922e-15,3.948140938868189e-17,3.9481409388696075e-17,3.948140938866009e-17,3.948140938866881e-17
130,10.18258,2462136889666904.5,3.4335269459532474,55648074117987.914,8.03517391560686e-15,8.051136417169425e-15,8.057401055817292e-15,8.056683721210971e-15,5.948569425984485e-17,5.948569425984904e-17,5.948569425978813e-17,5.948569425980994e-17
131,10.185014,2462725428248428.0,5.106742842022858,55687989284403.945,7.992969211862655e-15,8.010005415688737e-15,8.014122572392982e-15,8.013994472391541e-15,5.81873841347795e-17,5.818738413478938e-17,5.818738413468344e-17,5.818738413472711e-17
132,10.187263,2463269234028972.5,7.989925866987151,55724887597532.75,7.948541839115574e-15,7.970382992508613e-15,7.973506443933192e-15,7.973497984447099e-15,6.911186578786514e-17,6.91118657878695e-17,6.911186578771659e-17,6.911186578777776e-17
133,10.189328,2463768548807463.0,12.979949096166969,55758781456955.94,7.905045540559257e-15,7.928776771125234e-15,7.930757678646666e-15,7.930757619351687e-15,7.124860652800633e-17,7.124860652792962e-17,7.124860652780522e-17,7.124860652789266e-17
134,10.191209,2464223372583899.5,22.595172065957428,55789667192765.15,7.861842412835207e-15,7.8877308039959e-15,7.88892960857488e-15,7.888929608570714e-15,7.510065540380409e-17,7.510065540379953e-17,7.510065540356351e-17,7.510065540365974e-17
135,10.192905,2464633463559357.0,42.306372205343564,55817525032628.09,7.820598358107631e-15,7.846752638637218e-15,7.847385816501386e-15,7.847385816501386e-15,7.43067036354303e-17,7.430670363523045e-17,7.430670363515458e-17,7.430670363526836e-17
136,10.194417,2464999063532760.0,88.80778284559415,55842368377383.19,7.782147299002996e-15,7.807483849346893e-15,7.8077723949578e-15,7.8077723949578e-15,7.111402170475207e-17,7.111402170394736e-17,7.111402170445871e-17,7.111402170457256e-17
137,10.195745,2465320172504109.5,219.38046886082952,55864194537549.016,7.74761692986653e-15,7.770826658782276e-15,7.770932939939364e-15,7.770932939939364e-15,6.473120416417165e-17,6.473120416494813e-17,6.473120416386065e-17,6.473120416397015e-17
138,10.196889,2465596790473404.0,726.8516017466418,55883001150386.88,7.717818186476935e-15,7.737967851365722e-15,7.73799561139937e-15,7.73799561139937e-15,5.603654776624027e-17,5.603654776350673e-17,5.603654776593794e-17,5.603654776603872e-17
139,10.197848,2465828675641719.5,4040.01252094867,55898769735828.49,7.691320953012512e-15,7.709776673949825e-15,7.709781243314452e-15,7.709781243314452e-15,5.128220453031607e-17,5.128220454051246e-17,5.128220453000927e-17,5.128220453011446e-17
140,10.199581,2466247713177373.0,4038.439129733592,55927272523239.27,7.628954792114168e-15,7.657114851098304e-15,7.65712182583107e-15,7.65712182583107e-15,7.828718262755316e-17,7.828718264737567e-17,7.828718262724621e-17,7.828718262734706e-17
141,10.200541,2466479840144613.0,725.4292805662398,55943065888235.91,7.569425217097284e-15,7.620922922665101e-15,7.620994009942976e-15,7.620994009942976e-15,1.4337028195739645e-16,1.43370281957687e-16,1.4337028195708063e-16,1.4337028195719906e-16
142,10.201684,2466756216314983.5,219.49814063581465,55961873740554.766,7.462383137511032e-15,7.559564340944114e-15,7.560009109962057e-15,7.560009109962057e-15,2.7150856265111406e-16,2.715085626506082e-16,2.7150856265081133e-16,2.715085626509298e-16
143,10.203012,2467077325286332.0,88.59783571298816,55983731026953.72,7.274143669769604e-15,7.449563853435166e-15,7.4515664164236e-15,7.4515664164236e-15,4.936248868537886e-16,4.936248868540873e-16,4.936248868534989e-16,4.936248868536131e-16
144,10.204524,2467442925259735.5,42.233999309478186,56008623660411.555,6.966571722587788e-15,7.255071136866556e-15,7.262067776026232e-15,7.262067776026232e-15,8.224935405860023e-16,8.224935405859842e-16,8.224935405857433e-16,8.224935405858442e-16
145,10.20622,2467853016235193.0,22.49249573575129,56036554335312.305,6.498532571432488e-15,6.9332346313136246e-15,6.953460391278788e-15,6.953460391201239e-15,1.2668926860072135e-15,1.266892686007234e-15,1.2668926860069917e-15,1.2668926860070818e-15
146,10.208101,2468307840011629.0,12.94241477737962,56067542552084.89,5.868234246410562e-15,6.437094934396004e-15,6.484728450942731e-15,6.4847269748634716e-15,1.717771488987011e-15,1.7177714889870346e-15,1.7177714889868352e-15,1.7177714889869054e-15
147,10.210166,2468807154790119.5,7.933410324798782,56101575198710.234,5.0800171412552305e-15,5.756881353824065e-15,5.85446486521676e-15,5.854187178068155e-15,2.1584267978687124e-15,2.1584267978687156e-15,2.1584267978685783e-15,2.1584267978686375e-15
148,10.212415,2469350960570664.5,5.085429695232061,56138655958244.31,4.238000352300164e-15,4.908562388898262e-15,5.071435395354154e-15,5.066279575882681e-15,2.310812397744741e-15,2.3108123977447427e-15,2.3108123977446594e-15,2.3108123977446926e-15
149,10.214849,2469939499152188.0,3.399793025810344,56178805342487.164,3.4021512482304663e-15,4.01139980817908e-15,4.2534342566845724e-15,4.225018278265293e-15,2.297354797568868e-15,2.2973547975688664e-15,2.2973547975688128e-15,2.2973547975688373e-15
150,10.217467,2470572528735766.0,2.3395345358813393,56222011211786.02,2.748674474773463e-15,3.184507966533682e-15,3.4587813901398527e-15,3.390346621574512e-15,1.7928562768354454e-15,1.7928562768354423e-15,1.792856276835419e-15,1.79285627683543e-15
151,10.220269,2471250049321398.0,1.6620416501555677,56268278240861.21,2.283609912673849e-15,2.571031587647634e-15,2.8444350085248217e-15,2.738017785466746e-15,1.2706776285372328e-15,1.270677628537235e-15,1.2706776285372184e-15,1.2706776285372227e-15
152,10.223256,2471972302708009.0,1.202142267238612,56317627961520.71,2.0098418358839356e-15,2.1677346120439396e-15,2.387428123020352e-15,2.2739446912667307e-15,7.391683478764018e-16,7.391683478764029e-16,7.39168347876393e-16,7.391683478763962e-16
153,10.226427,2472739047096674.0,0.8935700709562312,56370049204634.65,1.829484633671916e-15,1.9277194945192344e-15,2.1194140999034102e-15,2.0007771958069805e-15,4.79858099637463e-16,4.798580996374631e-16,4.798580996374575e-16,4.798580996374597e-16
154,10.229782,2473550282487393.5,0.6712235523969584,56425547640381.5,1.7054307665145252e-15,1.7695293097790865e-15,1.9414315287672303e-15,1.820815584608667e-15,3.2355667439216624e-16,3.2355667439216643e-16,3.235566743921607e-16,3.2355667439216293e-16
155,10.233322,2474406250679091.5,0.5166060056486029,56484145830028.61,1.602573568524859e-15,1.6538242262374533e-15,1.8365719493649163e-15,1.6969821398111146e-15,2.6501100031163956e-16,2.650110003116392e-16,2.650110003116351e-16,2.6501100031163625e-16
156,10.237046,2475306709872844.0,0.39962618109883297,56545833573915.58,1.518262231628685e-15,1.5588091135150332e-15,1.7490930315533159e-15,1.5943046671188471e-15,2.1368918321269814e-16,2.136891832126983e-16,2.136891832126948e-16,2.1368918321269535e-16
157,10.240955,2476251901867575.0,0.3165376071671281,56610634125872.484,1.4427930765094319e-15,1.478225874556071e-15,1.690901908362232e-15,1.5101130393522293e-15,1.8939468957298064e-16,1.8939468957298074e-16,1.8939468957297675e-16,1.8939468957297843e-16
158,10.245047,2477241343065436.0,0.2507593432841259,56678521336099.37,1.3778098557596735e-15,1.4074736654456067e-15,1.6345837931938228e-15,1.4347598422469901e-15,1.6041244093378627e-16,1.6041244093378615e-16,1.6041244093378349e-16,1.6041244093378403e-16
159,10.249324,2478275517064276.0,0.20335220161622417,56749535724934.34,1.3184170966049191e-15,1.345008333992756e-15,1.5979697463851144e-15,1.3698573567388548e-15,1.450745992061286e-16,1.4507459920612876e-16,1.450745992061258e-16,1.4507459920612691e-16
160,10.253786,2479354423864094.0,0.16421156333697381,56823685009640.26,1.2659044798747337e-15,1.2888342908888458e-15,1.560669461573034e-15,1.3105429582227574e-15,1.2605633798782674e-16,1.260563379878268e-16,1.2605633798782507e-16,1.2605633798782563e-16
161,10.258431,2480477579867042.5,0.1359981217810491,56900943966488.945,1.2173178923241239e-15,1.2381668824785206e-15,1.5379803295297172e-15,1.2580919580077885e-15,1.153000245725337e-16,1.1530002457253394e-16,1.1530002457253202e-16,1.1530002457253259e-16
162,10.263261,2481645468670969.5,0.11156300631089135,56981354210284.73,1.173487850191256e-15,1.1918606743185404e-15,1.5152206814125336e-15,1.209562864703373e-15,1.0215630857611933e-16,1.0215630857611933e-16,1.0215630857611822e-16,1.0215630857611822e-16
163,10.268276,2482858090275875.5,0.09408308033035284,57064924475376.89,1.1325521922863698e-15,1.1494250366518522e-15,1.5025680650069714e-15,1.1657769761912085e-15,9.422308556876635e-17,9.422308556876649e-17,9.422308556876467e-17,9.422308556876523e-17
164,10.273474,2484114961083911.0,0.07826888236553804,57151630459703.06,1.0950189228833203e-15,1.1101485093857471e-15,1.4917761614576852e-15,1.1248884926907753e-15,8.483664844192289e-17,8.483664844192307e-17,8.483664844192176e-17,8.483664844192232e-17
165,10.278858,2485416806491849.5,0.06709313987279096,57241531596732.47,1.059686187506728e-15,1.0736923638743462e-15,1.4865900205857195e-15,1.0873887877416117e-15,7.880571085779028e-17,7.880571085779055e-17,7.880571085778916e-17,7.880571085778972e-17
166,10.284425,2486762901102918.5,0.05649491402625679,57334587525178.484,1.0268460166967472e-15,1.0395890328534162e-15,1.4865020313616998e-15,1.0520943281246892e-15,7.194074671272592e-17,7.194074671272609e-17,7.194074671272478e-17,7.194074671272535e-17
167,10.290177,2488153728514965.5,0.04917760573394897,57430841724135.46,9.957215908119535e-16,1.0075992514241485e-15,1.4867239770662443e-15,1.019283797666967e-15,6.72491897740816e-17,6.724918977408161e-17,6.724918977408046e-17,6.724918977408103e-17
168,10.296113,2489589046929067.0,0.04184659894939621,57530287876989.16,9.664572300301335e-16,9.774000028752614e-16,1.4967723904197139e-15,9.881911980370967e-16,6.213860240258971e-17,6.213860240258946e-17,6.213860240258859e-17,6.213860240258859e-17
169,10.302233,2491068856345223.0,0.03695973452760339,57632936716162.97,9.385592033736557e-16,9.488199506533734e-16,1.500659948594922e-15,9.589550631992885e-16,5.841692315913859e-17,5.84169231591387e-17,5.841692315913802e-17,5.841692315913802e-17
170,10.308538,2492593398562357.5,0.03174483550314243,57738816120690.65,9.120710102767078e-16,9.216283188217503e-16,1.5205924965380645e-15,9.310850295705871e-16,5.455916505856988e-17,5.455916505857002e-17,5.455916505856931e-17,5.455916505856931e-17
171,10.315027,2494162431781546.5,0.028434133694459192,57847920749916.31,8.866911771230525e-16,8.957001881998006e-16,1.526387179531479e-15,9.046242153539336e-16,5.155461385201266e-17,5.1554613852012764e-17,5.155461385201209e-17,5.155461385201209e-17
172,10.3217,2495775956002789.5,0.024638774089316286,57960262371312.45,8.623973467607467e-16,8.708699087249428e-16,1.5557994685190226e-15,8.792731714516078e-16,4.860951168914199e-17,4.86095116891421e-17,4.860951168914114e-17,4.860951168914142e-17
173,10.328558,2497434213025011.5,0.022370822244154657,58075869967333.48,8.390184847930371e-16,8.470423228405183e-16,1.5617261815240295e-15,8.550065503564125e-16,4.614424612162726e-17,4.614424612162714e-17,4.6144246121626405e-17,4.614424612162669e-17
174,10.3356,2499136961049287.5,0.019550443962159207,58194739176912.84,8.164872905414966e-16,8.240971684475921e-16,1.6000552519683581e-15,8.316576155703538e-16,4.3873726362179305e-17,4.387372636217936e-17,4.387372636217845e-17,4.387372636217873e-17
175,10.342826,2500884200075618.5,0.017992546127142316,58316882811975.27,7.947271248080058e-16,8.019635680805157e-16,1.6039409955685328e-15,8.091567406650108e-16,4.1819128857677884e-17,4.181912885767793e-17,4.181912885767731e-17,4.181912885767731e-17
176,10.350237,2502676171902927.5,0.015848880598529482,58442330973622.47,7.736369032686383e-16,7.805505247323504e-16,1.6506949384676834e-15,7.87427718185407e-16,4.005376724773265e-17,4.005376724773276e-17,4.0053767247732074e-17,4.0053767247732364e-17
177,10.357832,2504512634732291.0,0.014782943500006205,58571080284779.62,7.532081804128275e-16,7.598058013323268e-16,1.6502110922874977e-15,7.663709915211244e-16,3.831402635803582e-17,3.831402635803575e-17,3.831402635803525e-17,3.831402635803554e-17
178,10.365611,2506393588563708.5,0.013126183091417186,58703144612028.19,7.333185944870586e-16,7.396619878551264e-16,1.7040773450382455e-15,7.459776870416187e-16,3.693089662010639e-17,3.6930896620106335e-17,3.693089662010553e-17,3.693089662010582e-17
179,10.373575,2508319275196105.5,0.012406745166279052,58838555191179.44,7.140064237136731e-16,7.200780099096116e-16,1.696814016562559e-15,7.261245384429453e-16,3.54342275832028e-17,3.543422758320285e-17,3.543422758320222e-17,3.543422758320251e-17
180,10.3759,2508881457694890.0,0.0037013397727130334,58878126015208.664,7.00243035251744e-16,7.061043857724339e-16,3.871302558375452e-15,7.119585091365182e-16,3.427991602899628e-17,3.427991602899625e-17,3.42799160289957e-17,3.427991602899599e-17
181,10.383733,2510775468668215.0,0.003596019746551937,59011571965872.25,6.824813928080449e-16,6.880005271034229e-16,3.7557414444924314e-15,6.935130497242811e-16,3.235220165318178e-17,3.235220165318178e-17,3.2352201653180913e-17,3.23522016531812e-17
182,10.391538,2512662709271662.5,0.003505541134903897,59144741301370.305,6.655307181616587e-16,6.70745251168141e-16,3.644031234047392e-15,6.759536944804751e-16,3.0636122541000496e-17,3.0636122541000385e-17,3.0636122540999917e-17,3.0636122541000206e-17
183,10.399289,2514536892733202.5,0.003427669807456145,59277187407900.13,6.493368534490116e-16,6.542791337508997e-16,3.5363878399371407e-15,6.592157704430127e-16,2.9101999958737063e-17,2.9101999958736915e-17,2.910199995873619e-17,2.9101999958736484e-17
184,10.40704,2516411076194742.5,0.0033605439978915,59409831096266.6,6.337936639497261e-16,6.384900333017374e-16,3.4319308781390503e-15,6.431811448143091e-16,2.7716174873508162e-17,2.7716174873508217e-17,2.7716174873507872e-17,2.7716174873507872e-17
185,10.414764,2518278731085329.0,0.0033026731228318054,59542209427728.875,6.188683998879131e-16,6.2334197152976935e-16,3.3309127018291182e-15,6.278106209670389e-16,2.6460391104775e-17,2.6460391104775052e-17,2.6460391104774417e-17,2.6460391104774417e-17
186,10.422461,2520139857404961.5,0.0032528135510234584,59674320488133.93,6.045133607484064e-16,6.087840601097234e-16,3.233210730234568e-15,6.130501313846558e-16,2.5316694786935475e-17,2.5316694786935438e-17,2.531669478693489e-17,2.5316694786935182e-17
187,10.430103,2521987684783763.0,0.0032099502943739398,59805680714460.53,5.90706287727969e-16,5.947919373871243e-16,3.1390463121037345e-15,5.988732178070528e-16,2.4273208464800057e-17,2.4273208464800103e-17,2.4273208464800057e-17,2.4273208464800057e-17
188,10.437745,2523835512162564.0,0.003173168232053388,59937233573730.484,5.773709012160143e-16,5.81286031794235e-16,3.047629336381403e-15,5.851970234394678e-16,2.3311446919518528e-17,2.331144691951861e-17,2.3311446919517943e-17,2.3311446919518236e-17
189,10.445333,2525670282399458.0,0.003141778071154482,60068047587764.414,5.6451262142043665e-16,5.682709378009112e-16,2.9594961355484358e-15,5.720253203099119e-16,2.2426701836642083e-17,2.242670183664198e-17,2.242670183664179e-17,2.242670183664179e-17
190,10.452921,2527505052636352.0,0.0031151079066554675,60199051799310.12,5.520654375116595e-16,5.556780925919197e-16,2.873915872452579e-15,5.592869983492108e-16,2.160462016962978e-17,2.1604620169629848e-17,2.160462016962978e-17,2.160462016962978e-17
191,10.460482,2529333294302293.0,0.0030926487906917746,60329779185966.984,5.400225125093262e-16,5.43499830902303e-16,2.791105167173703e-15,5.469735664344983e-16,2.084050814022409e-17,2.0840508140224046e-17,2.0840508140223497e-17,2.0840508140223497e-17
192,10.467988,2531148237027401.5,0.003073966196164605,60459742700780.59,5.283780170530512e-16,5.317296344102604e-16,2.7112598547193637e-15,5.350778192738006e-16,2.0130482639670072e-17,2.0130482639670072e-17,2.013048263966948e-17,2.0130482639669776e-17
193,10.475494,2532963179752510.5,0.0030586136710671623,60589892728218.53,5.170755777258516e-16,5.2030925127622e-16,2.6337019917478675e-15,5.235396296541923e-16,1.9463947775423372e-17,1.9463947775423375e-17,1.9463947775423073e-17,1.9463947775423073e-17
194,10.482973,2534771593906665.5,0.003046277395776592,60719760230415.48,5.061139784948009e-16,5.092370767630774e-16,2.5586324733820943e-15,5.1235700536653e-16,1.8838710082710608e-17,1.8838710082710617e-17,1.8838710082710608e-17,1.8838710082710608e-17
195,10.490398,2536566950918914.0,0.003036681093045783,60848873495575.125,4.954916950604474e-16,4.985112470610585e-16,2.4862237828003356e-15,5.01527744136137e-16,1.8252872282884323e-17,1.825287228288441e-17,1.8252872282884024e-17,1.8252872282884024e-17
196,10.497822,2538362066132237.5,0.003029513999933163,60978152234398.625,4.851609138229842e-16,4.880825271176798e-16,2.415876134528139e-15,4.910011915456158e-16,1.7698386302357694e-17,1.7698386302357833e-17,1.7698386302357694e-17,1.7698386302357694e-17
197,10.50522,2540150894573532.0,0.003024574781506226,61107160238503.99,4.751226604112372e-16,4.779517687016761e-16,2.3477569954696873e-15,4.807780261464483e-16,1.717428669191816e-17,1.7174286691918057e-17,1.7174286691917857e-17,1.7174286691917857e-17
198,10.512563,2541926424073995.0,0.0030216839687142237,61235388945534.805,4.653796269194924e-16,4.681215592569775e-16,2.2820453088319926e-15,4.708607312340532e-16,1.6680015834443653e-17,1.6680015834443795e-17,1.668001583444335e-17,1.6680015834443653e-17
199,10.519906,2543701953574458.0,0.003020617309508193,61363796912636.79,4.5588827823026995e-16,4.585471969849292e-16,2.2181748228230873e-15,4.612034398951655e-16,1.6208939931751975e-17,1.6208939931752074e-17,1.6208939931751676e-17,1.6208939931751676e-17
200,10.527222,2545470954503967.5,0.0030212388707358258,61491911124285.68,4.466529354224423e-16,4.492329905950528e-16,2.1563185779811245e-15,4.51810448754726e-16,1.5761017836836002e-17,1.5761017836836064e-17,1.5761017836836002e-17,1.5761017836836002e-17
201,10.534511,2547233426862523.0,0.0030234083047174613,61619729732127.336,4.3766300479370917e-16,4.401680105333651e-16,2.096407490877115e-15,4.426704929931814e-16,1.5334359266779727e-17,1.533435926677971e-17,1.5334359266779425e-17,1.5334359266779425e-17
202,10.541772,2548989128851201.0,0.0030270055022149737,61747233320195.42,4.2890913016462956e-16,4.313426171125873e-16,2.0383828877799364e-15,4.337736499062207e-16,1.4927372959173714e-17,1.492737295917365e-17,1.4927372959173563e-17,1.4927372959173563e-17
203,10.549006,2550738302268925.5,0.003031912556353019,61874437573166.6,4.203815666302015e-16,4.2274678221566515e-16,1.982172364303124e-15,4.251096086332306e-16,1.4538463176371412e-17,1.453846317637134e-17,1.4538463176370805e-17,1.4538463176370956e-17
204,10.556213,2552480947115695.5,0.0030380330367094565,62001340656629.95,4.1207170615794427e-16,4.143716624127063e-16,1.927714183263349e-15,4.166692907321457e-16,1.41663092355186e-17,1.4166309235518554e-17,1.41663092355186e-17,1.41663092355186e-17
205,10.563393,2554217063391512.5,0.0030452747496109264,62127940740799.484,4.039714814084755e-16,4.062089747116617e-16,1.874948863901023e-15,4.0844419790677023e-16,1.380969989409502e-17,1.3809699894095009e-17,1.3809699894094715e-17,1.3809699894094867e-17
206,10.570546,2555946651096376.0,0.0030535575637382346,62254236000539.19,3.9607330048857473e-16,3.9825093539133924e-16,1.823819090339297e-15,4.0042635491074043e-16,1.3467559870643504e-17,1.3467559870643486e-17,1.3467559870643199e-17,1.3467559870643352e-17
207,10.577672,2557669710230286.0,0.003062807546674785,62380224615387.81,3.883700228472393e-16,3.9049022958641755e-16,1.7742696291837274e-15,3.9260827283525903e-16,1.3138912308323882e-17,1.3138912308323913e-17,1.3138912308323728e-17,1.3138912308323728e-17
208,10.58477,2559385998994318.0,0.0030729598430965757,62505887053782.6,3.8085536936477014e-16,3.829204313897971e-16,1.7262539143399294e-15,3.8498337921376297e-16,1.2822938461926397e-17,1.2822938461926327e-17,1.2822938461925938e-17,1.2822938461926092e-17
209,10.591868,2561102287758349.5,0.003083930525101556,62631718140222.805,3.7351043018706885e-16,3.7552221147631012e-16,1.6795384803080878e-15,3.775319257637482e-16,1.2517218443894485e-17,1.2517218443894492e-17,1.2517218443894176e-17,1.2517218443894176e-17
