order_r,units,source_stored,dense_direct,structured_schur,direct_relative_residual,schur_relative_residual
0,Hz^r s^-1 per H,7.462909149794286e-14,7.462909149793721e-14,7.462909149793926e-14,7.57687766945425e-14,4.8201119102554934e-14
1,Hz^r s^-1 per H,145.3288510710767,145.3288510710641,145.32885107106895,8.68323040751738e-14,5.3390132911086586e-14
2,Hz^r s^-1 per H,2.965383307182952e+17,2.9653833071826566e+17,2.965383307182773e+17,9.949472612371364e-14,6.021481255643408e-14
3,Hz^r s^-1 per H,6.299833085282766e+32,6.299833085282058e+32,6.299833085282339e+32,1.1232132087840732e-13,6.771305698576083e-14
4,Hz^r s^-1 per H,1.3835845692502105e+48,1.3835845692500376e+48,1.3835845692501062e+48,1.2501468500308307e-13,7.540754451874523e-14
