native_virtual_index,v051_native_x,physical_edge_flux_sInv_per_H,comparison_status
139,-4.127640123317774,5.128220453031607e-17,CENTRE_ONLY_NO_COMMON_CELL_PARTITION
140,3.112859165506483,7.828718262755316e-17,CENTRE_ONLY_NO_COMMON_CELL_PARTITION
