META,target_z,1100
META,z,1099.9986525171403
META,zstart,1700.4825068138662
META,iz_local,5127
META,xe,0.1449299966903522
META,xHII,0.1449299966903522
META,x1s,0.85507000330964777
META,nH_cm3,250.18675437302318
META,H_sInv,4.9696512229238343e-14
META,TM_eV_rescaled,0.25882127610727856
META,TR_eV_rescaled,0.25882399309326415
META,TM_over_TR,0.99998950257295272
META,fsR,1
META,meR,1
META,dxHIIdlna,-1.5028593700636264
META,A2p_up_sInv,3744.6148446595753
META,A2p_dn_sInv,3764.3312792072393
META,Dfplus_Lya,7.6643364422337378e-15
META,Dfplus_Lyb,5.0400233218132915e-18
META,Dfminus_Lya,7.6840819558108666e-15
META,Dfminus_Lyb,5.1952857375951816e-18
META,Dfminus_Lyg,4.0405073554118018e-19
REAL,0,6.5565949922896059e-15,1.1021802291516718e-12,2.0993758538652638e-13,1.6034632711963711e-18,164.70956012126084
TRR,0,0,2506.7499481578852
TRR,0,1,-777.67516448085541
REAL,1,1.9711283950160407e-14,2.9202019361027808e-12,5.5218013421745193e-13,5.2438399373101717e-18,144.40669400086173
TRR,1,0,-2333.0254934425661
TRR,1,1,8454.0706521232805
VIRTUAL,0,5.1790431999999997,9.0182351855791058e-14,9.3177378417870684e-14,9.6172404977004122e-14,2.0297802692869832e-06,2.9510846503062979e-09,7.967318127215299e-14,6.5630046206650973e-14,0.8510978283905839,0,0,1.2558308674008835e-09,1.4755423237016656e-09
TRV,0,0,-1.2558308674008835e-09
TRV,1,0,-0
TVR,0,0,-0.33243251376834526
TVR,1,0,-0
TVV,0,0,0.8510978283905839
TVV,1,0,0
TVV,2,0,0
VIRTUAL,1,5.3383878999999999,8.449054462489405e-14,8.7223107757442704e-14,8.9955670885452215e-14,1.0966703898734452e-06,4.98338128364607e-09,7.4581863038834292e-14,6.7339679332773672e-14,0.93209733067858647,0,0,2.3224981922621001e-09,2.4916906376840201e-09
TRV,0,1,-2.3224981922621001e-09
TRV,1,1,-0
TVR,0,1,-0.3321657240260889
TVR,1,1,-0
TVV,0,1,0.93209733067858647
TVV,1,1,0
TVV,2,1,0
VIRTUAL,2,5.4977327000000002,7.9148457356324447e-14,8.164620605602321e-14,8.4143954748702524e-14,5.9252003655275315e-07,8.4309352807636274e-09,6.9813221682543952e-14,6.8901054431150831e-14,1.0180796208450911,0,0,4.2916816849437039e-09,4.2154676285350355e-09
TRV,0,2,-4.2916816849437039e-09
TRV,1,2,-0
TVR,0,2,-0.3316300353986793
TVR,1,2,-0
TVV,0,2,1.0180796208450911
TVV,1,2,0
TVV,2,2,0
VIRTUAL,3,5.6571046000000003,7.4147390953801631e-14,7.6434340965470312e-14,7.8721290966246225e-14,3.2009912848660013e-07,1.4289014550714322e-08,6.5356712182315446e-14,7.032521232983984e-14,1.1092093198657338,0,0,7.9247540179290612e-09,7.1445072413278382e-09
TRV,0,3,-7.9247540179290612e-09
TRV,1,3,-0
TVR,0,3,-0.33082140060771636
TVR,1,3,-0
TVV,0,3,1.1092093198657338
TVV,1,3,0
TVV,2,3,0
VIRTUAL,4,5.8164493000000004,6.9428158377675606e-14,7.1525334881262916e-14,7.362251136789643e-14,1.7294642250063031e-07,2.4252335863506959e-08,6.1159168333645148e-14,7.1571815979328341e-14,1.2056041247769838,0,0,1.4619357958075855e-08,1.2126167833724181e-08
TRV,0,4,-1.4619357958075855e-08
TRV,1,4,-0
TVR,0,4,-0.32973359406620473
TVR,1,4,-0
TVV,0,4,1.2056041247769838
TVV,1,4,0
TVV,2,4,0
VIRTUAL,5,5.9758212000000004,6.4985319080478807e-14,6.691107149292816e-14,6.8836823878915863e-14,9.3431438098546551e-08,4.1222822157975305e-08,5.7213650122910161e-14,7.2650831466153074e-14,1.3074457300974811,0,0,2.6948301036211311e-08,2.0611410795767476e-08
TRV,0,5,-2.6948301036211311e-08
TRV,1,5,-0
TVR,0,5,-0.32835810247068931
TVR,1,5,-0
TVV,0,5,1.3074457300974811
TVV,1,5,0
TVV,2,5,0
VIRTUAL,6,6.1351658999999996,6.0772391332249578e-14,6.2547900183133512e-14,6.4323408992384989e-14,5.0480390666453707e-08,7.0344583573145831e-08,5.3482833216603494e-14,7.3522083488536392e-14,1.4148481263858503,0,0,4.9763449968066042e-08,3.5172290961846177e-08
TRV,0,6,-4.9623186283421453e-08
TRV,1,6,-1.4026368464458765e-10
TVR,0,6,-0.32668416574552561
TVR,1,6,-0.00030779915757390747
TVV,0,6,1.4148481263858503
TVV,1,6,0
TVV,2,6,0
VIRTUAL,7,6.2945105999999997,5.6772123777053964e-14,5.8406231473162953e-14,6.0040339104000782e-14,2.72740621862556e-08,1.1982895336182754e-07,4.9941416539061496e-14,7.4174323206333321e-14,1.5279769617855508,0,0,9.1547936389175892e-08,5.9914474287750752e-08
TRV,0,7,-9.1287095803530648e-08
TRV,1,7,-2.6084058564523823e-10
TVR,0,7,-0.32469822910176699
TVR,1,7,-0.00030926049109634382
TVV,0,7,1.5279769617855508
TVV,1,7,0
TVV,2,7,0
VIRTUAL,8,6.4538826,5.2955265475276796e-14,5.4460725252370429e-14,5.5966184926918366e-14,1.4734359492356578e-08,2.0434757154665982e-07,4.6567732521790199e-14,7.4576993347473035e-14,1.6470018761463763,0,0,1.6828040539908744e-07,1.0217377881367491e-07
TRV,0,8,-1.6777296197830722e-07
TRV,1,8,-5.0744342078023366e-10
TVR,0,8,-0.32238422616001433
TVR,1,8,-0.00032502606021697807
TVV,0,8,1.6470018761463763
TVV,1,8,0
TVV,2,8,0
VIRTUAL,9,6.6132273000000001,5.0863863671835702e-14,5.2251639500403767e-14,5.363941516768763e-14,7.9608311612457744e-09,3.4865325709557485e-07,4.4678809560544773e-14,7.7069443544487914e-14,1.7720308614935829,0,0,3.0891212986573001e-07,1.7432660828793848e-07
TRV,0,9,-3.0796023580688747e-07
TRV,1,9,-9.5189405884252782e-10
TVR,0,9,-0.31972275520880927
TVR,1,9,-0.00032941719500746751
TVV,0,9,1.7720308614935829
TVV,1,9,0
TVV,2,9,0
VIRTUAL,10,6.7725720000000003,4.9058505473421953e-14,5.033846585568267e-14,5.16184259840091e-14,4.3011598516607111e-09,5.9517678002246266e-07,4.3042912165821173e-14,7.9837644500810389e-14,1.9032325630019962,0,0,5.6637980187532225e-07,2.9758833097199808e-07
TRV,0,10,-5.6458568713427995e-07
TRV,1,10,-1.7941147410423476e-09
TVR,0,10,-0.31669110001059497
TVR,1,10,-0.00033545552891471603
TVV,0,10,1.9032325630019962
TVV,1,10,0
TVV,2,10,0
VIRTUAL,11,6.9319439000000003,4.9168568199051328e-14,5.0349448664713964e-14,5.1530342821585958e-14,2.3236308519322356e-09,1.0164376142811635e-06,4.3052303236375909e-14,8.5800091232928134e-14,2.0407919730731181,0,0,1.0371623226062379e-06,5.0821560271252508e-07
TRV,0,11,-1.0337636117103102e-06
TRV,1,11,-3.3987108959278002e-09
TVR,0,11,-0.31326269958812669
TVR,1,11,-0.00034330522578446737
TVV,0,11,2.0407919730731181
TVV,1,11,0
TVV,2,11,0
VIRTUAL,12,7.0912886000000004,5.3230672911787746e-14,5.4320270905966383e-14,5.540988201132944e-14,1.2554353402395965e-09,1.7358945729449065e-06,4.6447634223345641e-14,9.9442630357631653e-14,2.1847882563163643,0,0,1.8962679837846697e-06,8.6794131115563999e-07
TRV,0,12,-1.8897963234795261e-06
TRV,1,12,-6.4716603051435191e-09
TVR,0,12,-0.30940657333020821
TVR,1,12,-0.00035319048476165576
TVV,0,12,2.1847882563163643
TVV,1,12,0
TVV,2,12,0
VIRTUAL,13,7.2506605000000004,6.0027209195528845e-14,6.1032427839997524e-14,6.2037636163765898e-14,6.7822837285719363e-10,2.9644998341622125e-06,5.2186998275142523e-14,1.1987018809620873e-13,2.335403930817324,0,0,3.4616649224166647e-06,1.4822553292548335e-06
TRV,0,13,-3.4492710588699227e-06
TRV,1,13,-1.2393863546741933e-08
TVR,0,13,-0.30508672540804044
TVR,1,13,-0.00036541085349092142
TVV,0,13,2.335403930817324
TVV,1,13,0
TVV,2,13,0
VIRTUAL,14,7.4100051999999996,7.1151723059757707e-14,7.2078673030032919e-14,7.3005619403323562e-14,3.6644030292237541e-10,5.0601996048219414e-06,6.1632311186345271e-14,1.5166056503402669e-13,2.4927956350867766,0,0,6.3070180234382885e-06,2.5300983099718621e-06
TRV,0,14,-6.2831400648172755e-06
TRV,1,14,-2.3877958621012651e-08
TVR,0,14,-0.30026161716507366
TVR,1,14,-0.00038036366085447519
TVV,0,14,2.4927956350867766
TVV,1,14,0
TVV,2,14,0
VIRTUAL,15,7.56935,8.103484785453961e-14,8.1888935374694833e-14,8.2743019593388773e-14,1.9798413397826812e-10,8.6313914148823301e-06,7.0020772241863846e-14,1.841108127971012e-13,2.6570986411310518,0,0,1.1467201873963442e-05,4.3156854233616926e-06
TRV,0,15,-1.1420891032243737e-05
TRV,1,15,-4.6310841719705336e-08
TVR,0,15,-0.29488317186824969
TVR,1,15,-0.00039857625409554049
TVV,0,15,2.6570986411310518
TVV,1,15,0
TVV,2,15,0
VIRTUAL,16,7.7287219,8.521214001681954e-14,8.5998123241826449e-14,8.6784103010088001e-14,1.069577170505972e-10,1.4708877231936192e-05,7.3534415525012034e-14,2.0608961653565872e-13,2.8284998602150084,0,0,2.0801921354079863e-05,7.3544007007653178e-06
TRV,0,16,-2.0711427869968895e-05
TRV,1,16,-9.049348411096629e-08
TVR,0,16,-0.28889597615022283
TVR,1,16,-0.00042075327675145216
TVV,0,16,2.8284998602150084
TVV,1,16,0
TVV,2,16,0
VIRTUAL,17,7.8880666000000002,8.3213675306325311e-14,8.393575422551192e-14,8.4657827330347629e-14,5.7788253702817111e-11,2.5026758401492666e-05,7.1770945643406257e-14,2.1396227848184143e-13,3.0070889401094738,0,0,3.7628524834867826e-05,1.2513272997338731e-05
TRV,0,17,-3.745024887844284e-05
TRV,1,17,-1.7827595642498854e-07
TVR,0,17,-0.28223654784578306
TVR,1,17,-0.00044784740655628383
TVV,0,17,3.0070889401094738
TVV,1,17,0
TVV,2,17,0
