table,bins,common_eta,delta_eff,chi_entropy_per_H_kB_s,log_entropy_per_H_kB_s,log_read_entropy_proxy_per_H_kB_s,chi_event_per_H_s,log_event_per_H_s,record_role
base,140,-0.01118976872514943,0.02238493049350998,0.00028173611409276625,-0.0002603135345552853,0.0005270804852294076,-0.025178010467683663,0.023263531262288358,structured_job_summary_readback
hires,408,-0.01118976872514943,0.02237953745029886,0.00028167186474992016,-0.0002601446373071536,0.0005284552517908059,-0.025172268674048415,0.023248437362469676,structured_job_summary_readback
