physics_orbit_id,frequency_i,frequency_j,x_i,x_j,width_i,width_j,mu_id,mu_label,mu,edge_multiplicity,Q_SI,DeltaE_SI,p_parallel_over_sigma,required_speed_over_c,active,background_lane,max_fractional_detuning
46,0,3,-9.25,-5.625,2.0,0.75,8,1/2,0.5,48,5.449598257948589e-27,1.3901077101677454e-22,5.127091808444346,8.508157883801996e-05,True,series_v0_8,0.00021707524976815896
47,0,3,-9.25,-5.625,2.0,0.75,9,1/sqrt(3),0.5773502691896258,48,5.010369833852311e-27,1.3901077101677454e-22,5.5766076011760655,9.254107337939881e-05,True,series_v0_8,0.00021707524976815896
48,0,3,-9.25,-5.625,2.0,0.75,10,1/sqrt(2),0.7071067811865475,48,4.1709419434013345e-27,1.3901077101677454e-22,6.6990453781661605,0.00011116737885270195,True,series_v0_8,0.00021707524976815896
49,0,3,-9.25,-5.625,2.0,0.75,11,sqrt(2/3),0.816496580927726,48,3.301426008052971e-27,1.3901077101677454e-22,8.463530450059448,0.00014044814490131083,True,series_v0_8,0.00021707524976815896
50,0,3,-9.25,-5.625,2.0,0.75,12,1,1.0,26,4.636900238003761e-31,1.3901077101677454e-22,60260.891285117636,0.9999999930330367,False,series_v0_8,0.00021707524976815896
51,0,4,-9.25,-5.0,2.0,0.5,0,-1,-1.0,26,1.0899276432861948e-26,1.6297814532978303e-22,3.0050518320440145,4.986736417305651e-05,True,series_v0_8,0.00021707524976815896
52,0,4,-9.25,-5.0,2.0,0.5,1,-sqrt(2/3),-0.816496580927726,48,1.0387235118105695e-26,1.6297814532978303e-22,3.153249619958049,5.2326633920335306e-05,True,series_v0_8,0.00021707524976815896
53,0,4,-9.25,-5.0,2.0,0.5,2,-1/sqrt(2),-0.7071067811865475,48,1.0069618417652867e-26,1.6297814532978303e-22,3.2527484195545915,5.397776779475098e-05,True,series_v0_8,0.00021707524976815896
54,0,4,-9.25,-5.0,2.0,0.5,3,-1/sqrt(3),-0.5773502691896258,48,9.679362212534327e-27,1.6297814532978303e-22,3.3839417855745237,5.615485748440038e-05,True,series_v0_8,0.00021707524976815896
55,0,4,-9.25,-5.0,2.0,0.5,4,-1/2,-0.5,48,9.439050277641289e-27,1.6297814532978303e-22,3.4701239215627724,5.758500784477357e-05,True,series_v0_8,0.00021707524976815896
56,0,4,-9.25,-5.0,2.0,0.5,5,-1/3,-0.3333333333333333,24,8.899221947552877e-27,1.6297814532978303e-22,3.6806890395477176,6.107923290562906e-05,True,series_v0_8,0.00021707524976815896
57,0,4,-9.25,-5.0,2.0,0.5,6,0,0.0,192,7.70695228529023e-27,1.6297814532978303e-22,4.250247893781274,7.053078329127896e-05,True,series_v0_8,0.00021707524976815896
58,0,4,-9.25,-5.0,2.0,0.5,7,1/3,0.3333333333333333,24,6.2927001981402055e-27,1.6297814532978303e-22,5.20565825825871,8.638535061423325e-05,True,series_v0_8,0.00021707524976815896
59,0,4,-9.25,-5.0,2.0,0.5,8,1/2,0.5,48,5.449638236767695e-27,1.6297814532978303e-22,6.011085478989161,9.975102108379668e-05,True,series_v0_8,0.00021707524976815896
