row_index,orbit_id,x_source,x_target,mu,analytic,direct,quad_error,relative_residual
0,0,-4.0,-4.0,-1.0,4915400.828248961,4915400.828248963,1.3008242834011696e-06,-3.3306690738754696e-16
1,1,-4.0,-4.0,-0.816496580927726,4958196.065457269,4958196.06545727,1.8086147346441095e-06,-2.220446049250313e-16
10,10,-4.0,-4.0,0.7071067811865475,5374583.091907481,5374583.091907449,1.3058087541560734e-05,5.995204332975845e-15
100,107,-4.0,0.0,-0.5,21921727.484299447,21921727.48429937,1.1770031315763707e-06,3.552713678800501e-15
192,207,-4.0,4.0,-1.0,104875551960060.83,104875551960060.84,27.736909553408623,-1.1102230246251565e-16
372,401,-3.5,3.5,-1.0,101736390604246.69,101736390604246.72,26.91586610674858,-3.3306690738754696e-16
500,538,-3.0,1.0,0.5,49246506299.72766,49246506299.72758,0.0006507526838479549,1.7763568394002505e-15
540,582,-3.0,3.0,-1.0,97621325307250.11,97621325307250.11,25.83685576170683,0.0
696,750,-2.5,2.5,-1.0,93372137408354.38,93372137408354.4,24.718182519078255,-3.3306690738754696e-16
840,905,-2.0,2.0,-1.0,89525148300838.97,89525148300839.0,23.68161504715681,-3.3306690738754696e-16
972,1047,-1.5,1.5,-1.0,86378008278594.73,86378008278594.72,22.854477375745773,2.220446049250313e-16
1000,1077,-1.5,2.5,-0.5,118975056000.42522,118975056000.42511,0.0524965250049263,8.881784197001252e-16
1092,1176,-1.0,1.0,-1.0,84076115063074.1,84076115063074.12,22.246982492506504,-3.3306690738754696e-16
1200,1292,-0.5,0.5,-1.0,82681053124082.5,82681053124082.52,21.887425161898136,-2.220446049250313e-16
1787,1920,3.0,3.5,0.816496580927726,10238906.210420959,10238906.21042067,0.0001389538280910929,2.8199664825478976e-14
1799,1933,3.0,4.0,0.816496580927726,7557616.428171419,7557616.428171449,2.67341862961179e-06,-4.107825191113079e-15
1800,1935,3.5,3.5,-1.0,6416931.807169429,6416931.80716943,1.6977289432063003e-06,-1.1102230246251565e-16
1811,1946,3.5,3.5,0.816496580927726,7557189.076649687,7557189.076649667,2.674902334146023e-06,2.6645352591003757e-15
1823,1958,3.5,4.0,0.816496580927726,6282147.668223886,6282147.668223878,0.00012996201839844332,1.1102230246251565e-15
1835,1971,4.0,4.0,0.816496580927726,5412307.264313986,5412307.264313976,1.4330841982181791e-05,1.7763568394002505e-15
