row_index,orbit_id,scipy_value,mpmath_value,relative_residual
0,0,4915400.828248961,4915400.828248961,2.08881298120278043189778664362e-17
1,1,4958196.065457269,4958196.06545727028149594760309539308933124614222463648675439,2.58460119504150601089267744266e-16
10,10,5374583.091907481,5374583.09190745131156775917330554188136267316352647411387859,5.52385770824322763007398521605e-15
100,107,21921727.484299447,21921727.4842993755639020333637911135722718274912880515286461,3.25868926241326853230538292418e-15
192,207,104875551960060.83,104875551960060.83,1.78783326042855612213700423832e-17
372,401,101736390604246.69,101736390604246.69,2.45733113308980004833930789911e-17
500,538,49246506299.72766,49246506299.7276396123373505375228525862950477119154039160277,4.13992061190647999037626129813e-16
540,582,97621325307250.11,97621325307250.11,6.40228964350663962799270769743e-18
696,750,93372137408354.38,93372137408354.38,5.35491650805096616967934708011e-17
840,905,89525148300838.97,89525148300838.97,1.3962557155443280632649833825e-17
972,1047,86378008278594.73,86378008278594.73,5.06494660757785182124472018071e-17
1000,1077,118975056000.42522,118975056000.425283144889359275480617596863703326080074461519,5.30740572705002682223713351536e-16
