side,label,index,interval_left_x,interval_right_x,face_x,mode_measure_m3,equilibrium_weight_m3,centroid_frequency_Hz
red,FR00,29,-21.25,-16.25,-21.25,1.6400603146104614e+18,12.277473414068892,2464982425071076.5
blue,FB02,34,16.25,21.25,21.25,1.6429495492454702e+18,11.879417375049684,2467152704622816.5
