model,angle_index,red_root_count,blue_root_count,red_roots_s,blue_roots_s,red_positive_integral,red_negative_integral,blue_positive_integral,blue_negative_integral,red_exact_signed_integral,blue_exact_signed_integral,red_endpoint_heuristic_error,blue_endpoint_heuristic_error
Bianchi_II_large_shear,0,1,1,[27351511944281.05],[27351511944281.05],5378.483767329907,39433.01268200862,5381.071966233598,39451.988379362694,-34054.52891467872,-34070.916413129096,78866.02536401725,78903.97675872539
Bianchi_VI_h_tilted_large_shear,20,2,2,"[4625347377955.0205, 5179100699807.36]","[4625347377955.0205, 5179100699807.36]",0.25736764905111603,46111.45441672082,0.257491497833772,46133.643870279055,-46111.19704907177,-46133.38637878122,-0.5147352981002769,-0.514982995664468
Bianchi_VI_minus_1_over_9_exceptional,6,2,2,"[55919577654090.74, 95097407094221.8]","[55919577654090.74, 95097407094221.8]",315.810271796616,49723.26009174638,315.9622439572836,49747.187594891184,-49407.44981994976,-49431.2253509339,-631.6205435932352,-631.9244879145699
