target_z,epsilon,relative_error,analytic_norm,numeric_norm
1300.0,0.0002,2.909910654182323e-10,15361.546401695596,15361.546402455348
1300.0,0.0001,6.015449680051234e-10,15361.546401695596,15361.546402092206
1300.0,5e-05,1.257499583531856e-09,15361.546401695596,15361.546398830646
1100.0,0.0002,3.165074275612907e-10,15097.56865231706,15097.568652323629
1100.0,0.0001,6.418648012066677e-10,15097.56865231706,15097.568652069902
1100.0,5e-05,1.279553711820355e-09,15097.56865231706,15097.568653859487
900.0,0.0002,2.8583931116898296e-10,16203.256969391443,16203.256969451722
900.0,0.0001,5.567158767628462e-10,16203.256969391443,16203.256969731448
900.0,5e-05,1.242851760709323e-09,16203.256969391443,16203.256969827344
