target_z,side,direction,face_frequency_Hz,cell_centroid_frequency_Hz,relative_face_minus_centroid,com_energy_change_J_per_H,cell_centroid_energy_proxy_J_per_H,unresolved_energy_correction_J_per_H,reconstruction_residual_J_per_H
1300.0,red,com_to_native,2464700572387794.0,2464982425071076.5,-0.00011435575032525839,-1.4468440654808996e-26,-1.4470095204196116e-26,1.654549387119815e-30,0.0
1300.0,blue,native_to_com,2467375842523212.5,2467152704622816.5,9.043531048265938e-05,1.366493623445682e-26,1.3663700441705735e-26,1.2357927510859971e-30,0.0
1100.0,red,com_to_native,2464807680554429.5,2464982425071076.5,-7.089580173966891e-05,-3.5445794758525484e-27,-3.544830771656319e-27,2.5129580377041608e-31,0.0
1100.0,blue,native_to_com,2467268734356577.0,2467152704622816.5,4.702760268664396e-05,3.309915665100518e-27,3.309760007701693e-27,1.5565739882471369e-31,0.0
900.0,red,com_to_native,2464925120684537.0,2464982425071076.5,-2.3247921836905915e-05,-3.0606223898664067e-28,-3.060693542976499e-28,7.115311009223812e-33,0.0
900.0,blue,native_to_com,2467151294226469.5,2467152704622816.5,-5.716699864740984e-07,2.7457820217058656e-28,2.7457835913870367e-28,-1.5696811711164905e-34,0.0
