native_bin,level,piece_type,fine_cell,fraction,piece_energy_eV,Tvr_magnitude,Trv_magnitude,exponential_tilt_lambda
135,2s,fine,0,0.020284591110733087,10.193644731757928,6.130746851560969e-05,6.011688468877487e-05,2.8020260469530003
135,2s,residual_red,-1,0.9797154088892669,10.192842731757928,0.0007294488424963636,0.0007130674683875415,2.8020260469530003
135,2p,fine,0,0.020284591110733087,10.193644731757928,0.018568581834668207,0.054623946479111625,2.8020260469528853
135,2p,residual_red,-1,0.9797154088892669,10.192842731757928,0.22093279748860958,0.6479138004380296,2.8020260469528853
136,2s,fine,0,0.8198525899391537,10.194243095338855,0.0005282868789879388,0.0005192280103244707,0.776341886928721
136,2s,fine,1,0.18014741006084628,10.194953095338857,0.0001711364712726384,0.00016866447065699787,0.776341886928721
136,2p,fine,0,0.8198525899391537,10.194243095338855,0.2939999946809195,0.8668757734397412,0.7763418869282109
136,2p,fine,1,0.18014741006084628,10.194953095338857,0.09524015008709479,0.2815933280663796,0.7763418869282109
137,2s,fine,1,0.47079263026831686,10.195371949845505,0.00024399321894284608,0.00024085875391051246,0.5698554711732274
137,2s,fine,2,0.48411292955260454,10.195962081481476,0.000329349664345157,0.0003258616709508405,0.5698554711732274
137,2s,fine,3,0.04509444017907862,10.19628913163597,3.5671305914971006e-05,3.533820480946097e-05,0.5698554711732274
137,2p,fine,1,0.47079263026831686,10.195371949845505,0.2872442916419364,0.8506626018445724,0.5698554711733704
137,2p,fine,2,0.48411292955260454,10.195962081481476,0.3877313125636535,1.1508750765831406,0.5698554711733704
137,2p,fine,3,0.04509444017907862,10.19628913163597,0.04199452363424042,0.12480712766165152,0.5698554711733704
138,2s,fine,3,0.4022388365967721,10.196528477068341,0.0001736505441597499,0.00017218832652056575,0.5801224662992169
138,2s,fine,4,0.2845285691525233,10.196889545031913,0.00014991030486774065,0.00014885574847588144,0.5801224662992169
138,2s,fine,5,0.22762285532235652,10.19715880864333,0.00013913558232333897,0.00013830079477143015,0.5801224662992169
138,2s,fine,6,0.08560973892834807,10.197323490679757,5.730652180624572e-05,5.699899117205954e-05,0.5801224662992169
138,2p,fine,3,0.4022388365967721,10.196528477068341,0.5553675778631834,1.6520733804565912,0.580122466299553
138,2p,fine,4,0.2845285691525233,10.196889545031913,0.47944176227024876,1.428207269065954,0.580122466299553
138,2p,fine,5,0.22762285532235652,10.19715880864333,0.44498214343875614,1.3269370006370698,0.580122466299553
138,2p,fine,6,0.08560973892834807,10.197323490679757,0.18327719250927288,0.5468809525657172,0.580122466299553
139,2s,fine,6,0.06648620638478317,10.197413245216897,5.9393060676166855e-05,5.9094846128353275e-05,-1.836145989161405
139,2s,fine,7,0.08890989315480664,10.197517826791888,6.88645375136786e-05,6.854649049326778e-05,-1.836145989161405
139,2s,fine,8,0.08890989315348691,10.197637499508073,5.8491989122344705e-05,5.824880509695633e-05,-1.836145989161405
139,2s,fine,9,0.08890989315480664,10.197757172224257,4.968177984075601e-05,4.949813288628055e-05,-1.836145989161405
139,2s,fine,10,0.08890989315348691,10.197876844940444,4.219858625261179e-05,4.206206728311507e-05,-1.836145989161405
139,2s,fine,11,0.08890989315480664,10.19799651765663,3.5842529947189654e-05,3.574311597260667e-05,-1.836145989161405
139,2s,fine,12,0.08890989315348691,10.198116190372815,3.044383869378203e-05,3.0373455750455298e-05,-1.836145989161405
139,2s,fine,13,0.08890989315348691,10.198235863089,2.585831178190724e-05,2.581047536386013e-05,-1.836145989161405
139,2s,fine,14,0.08890989315480664,10.198355535805185,2.196346837026227e-05,2.1932987934977843e-05,-1.836145989161405
139,2s,fine,15,0.08890989315348691,10.198475208521371,1.865527598648365e-05,1.863801239453402e-05,-1.836145989161405
