state,ell,MB_action_norm,MJ_action_norm,absolute_change,relative_change,MJ_number_residual
smooth_L8,0,0.0013564413745930197,0.001356441373304985,1.6038154497871823e-12,1.1823698991718806e-09,9.415550479043022e-16
smooth_L2,0,0.001436776961078875,0.0014367769597050126,1.6813940536055772e-12,1.1702540483046077e-09,1.274134911347178e-15
narrow_core,0,0.008162125660109994,0.00816212565405157,6.255682887902299e-12,7.664281527933917e-10,9.291909079732312e-16
odd_red_blue,0,0.0925700373498418,0.09257003728243778,7.666289232664534e-11,8.281609749463684e-10,9.786881252789835e-16
Gaussian_harmonic_envelope,1,2.824057516390493,2.8240575147342555,1.7520711913996546e-09,6.204091744797644e-10,nan
Gaussian_harmonic_envelope,2,0.2702362430816587,0.27023624289716447,1.879142097071247e-10,6.953701239053766e-10,nan
Gaussian_harmonic_envelope,3,2.8240651701971693,2.824065168528694,1.760732479728938e-09,6.234744507139895e-10,nan
Gaussian_harmonic_envelope,4,0.3007965708511679,0.3007965706447541,2.098830929465045e-10,6.977575990863938e-10,nan
Gaussian_harmonic_envelope,5,2.824065630193446,2.8240656285241537,1.7612728568833743e-09,6.236656963966553e-10,nan
Gaussian_harmonic_envelope,6,0.28790082718051335,0.28790082698320535,2.0070761797715524e-10,6.971415125141808e-10,nan
