b,source_line,energy_eV,normalized_A2s_s_inv,companion_eV,C_s_inv,D_s_inv,C_reference_80dps,D_reference_80dps,dC_dlogTheta_s_inv,dD_dlogTheta_s_inv,C_JVP,D_JVP,coefficient_relative_error,literal_exp_relative_error,temperature_derivative_relative_error,JVP_component_scaled_error
10,11,6.772572,0.3166905354249078,3.426142553953742,0.34660001254011313,6.179062380791979e-07,0.34660001254011309346500397233,0.000000617906238079198348197939048566,8.179452783789346e-06,8.179452783789346e-06,-0.2252870635480714,2.5429639474126844e-06,7.002852633208065e-16,1.6015911489568496e-16,5.126755204928279e-16,4.446465860328052e-16
11,12,6.9319439,0.313261665824515,3.266770653953742,0.3428478274317211,1.1313942222257558e-06,0.34284782743172110612466398605,0.0000011313942222257552423314082179,1.4280042572047843e-05,1.4280042572047843e-05,-0.22284594701529278,4.405409081490484e-06,4.559949681358617e-16,0.0,3.088892331560263e-16,2.4981551873450007e-16
12,13,7.0912886,0.30940468353388473,3.107425953953742,0.33862752124280043,2.0682722987616324e-06,0.338627521242800447647532498154,0.00000206827229876163303935695193341,2.4831709762887687e-05,2.4831709762887687e-05,-0.22009894939230565,7.595038520444504e-06,3.1512614779143175e-16,0.0,2.8813946975307207e-16,1.3516418278133163e-16
13,14,7.2506605,0.30508327613698155,2.948054053953742,0.33389969862970953,3.7750268075691682e-06,0.333899698629709505094151244546,0.00000377502680756917115369854752304,4.299875284009713e-05,4.299875284009713e-05,-0.21701932455828876,1.3025783597514995e-05,7.711604638810302e-16,0.0,7.522875336566707e-16,5.527995702256454e-16
14,15,7.4100052,0.30025533402500887,2.7887093539537426,0.3286188979458137,6.876531816600147e-06,0.328618897945813671875243251952,0.00000687653181660014341977359504928,7.409301456513965e-05,7.409301456513965e-05,-0.21357561017953547,2.220373956266019e-05,5.092439074387705e-16,1.6892257742405037e-16,5.115184871145721e-16,3.7876896404607535e-16
15,16,7.56935,0.29487175097721746,2.6293645539537422,0.32273250199953313,1.2499501801163696e-05,0.322732501999533091744839347442,0.0000124995018011637009745079246306,0.0001269859858519051,0.0001269859858519051,-0.20973041134478987,3.759027873592942e-05,3.7257472720605203e-16,1.7200359705741112e-16,2.4728256743300394e-16,1.8481490322330003e-16
16,17,7.7287219,0.28887526472235286,2.4699926539537422,0.3161798640792417,2.2667454687595282e-05,0.316179864079241677650921449401,0.0000226674546875952666073097314618,0.000216334119896114,0.000216334119896114,-0.20543903136834452,6.314643761566416e-05,6.755729362491816e-16,0.0,7.385578425001161e-16,4.97826269541575e-16
17,18,7.8880666,0.28219909759690465,2.310647953953742,0.3088915066427631,4.098712193195322e-05,0.3088915066427631043666314491,0.0000409871219319532100163584197724,0.00036596057694332387,0.00036596057694332387,-0.20064773351009643,0.00010510417844382702,2.780336762913303e-16,0.0,1.972074527928596e-16,1.465248248170571e-16
18,19,8.0474113,0.274764807585721,2.151303253953742,0.3007879921076756,7.387115004016454e-05,0.300787992107675585690526661511,0.0000738711500401645628241393239458,0.0006141559074620627,0.0006141559074620627,-0.1952910987433028,0.00017307987916023553,3.706716105445154e-16,0.0,3.3499552737348676e-16,1.84170518969891e-16
19,20,8.2067832,0.26648011937230326,1.991931353953742,0.2917796550564139,0.0001326440951296913,0.291779655056413905122896598015,0.000132644095129691338039478670266,0.0010213044699261286,0.0010213044699261286,-0.18928910617749564,0.00028145094733910694,2.8132122990630515e-16,0.0,8.202030699748481e-17,1.7545608549292996e-17
20,21,8.319513,0.10734576876622237,1.8792015539537417,0.11756632558554136,8.261733085399704e-05,0.117566325585541353546418339294,0.0000826173308539970179649705442567,0.0006002681335574351,0.0006002681335574351,-0.07620201510252121,0.00016239526302557858,3.083146619117918e-16,1.180422007636614e-16,2.0945742648754295e-16,7.700941188752312e-17
21,22,8.384676,0.10376156438531543,1.8140385539537416,0.11366374738358936,0.00010274261923409576,0.113663747383589351722174035521,0.000102742619234095713096465591302,0.0007207511709843632,0.0007207511709843632,-0.07362196537777872,0.00019268771905220862,4.819445148242786e-16,1.2209511059828135e-16,4.438043263524668e-16,2.6913122623220367e-16
22,23,8.4486423,0.100242188611732,1.7500722539537428,0.10983637048515492,0.00012711806627630003,0.109836370485154904329921597615,0.000127118066276300047267843773232,0.0008605213337532689,0.0008605213337532689,-0.07108385313519952,0.00022716093707158175,1.7342076732937225e-16,1.2634965764541653e-16,1.057852112610108e-16,1.0004858424005551e-16
23,24,8.5114392,0.09678578134620859,1.6872753539537424,0.10608290189794886,0.0001564864502831195,0.10608290189794885844908297656,0.00015648645028311947507536285074,0.001021643283519277,0.001021643283519277,-0.06858609465159982,0.00026607538938291204,1.5156663912680546e-16,0.0,2.999868072313731e-16,6.696238643076607e-17
24,25,8.5730938,0.09339057044688913,1.6256207539537417,0.10240224208177842,0.00019168773738044472,0.102402242081778410424819888141,0.000191687737380444775439918689828,0.0012062095289244001,0.0012062095289244001,-0.0661272219227432,0.00030963840111549476,2.97305278176477e-16,1.35522304255132e-16,4.548514414087441e-16,2.410988614621614e-16
25,26,8.6336334,0.09005473879369785,1.5650811539537415,0.09879334618144817,0.00023366580474023458,0.0987933461814481651948974372311,0.000233665804740234675931113088804,0.001416302099779687,0.001416302099779687,-0.06370580626202063,0.0003579859828395347,4.088320402745477e-16,0.0,2.724895184544862e-16,1.3679914853778829e-16
26,27,8.6930851,0.08677659320654219,1.505629453953743,0.09525541515133605,0.00028347469399579137,0.0952554151513360516878376978799,0.000283474693995791413401564706702,0.0016539494297817432,0.0016539494297817432,-0.06132059805364701,0.00041116324362416303,1.6624567766359694e-16,1.456902768810179e-16,2.5801129060375685e-16,1.0125045659282932e-16
27,28,8.7515034,0.08355435754550206,1.4472111539537416,0.09178771073939929,0.0003423200350718067,0.091787710739399289736646140223,0.000342320035071806738129948588199,0.0019212434700582937,0.0019212434700582937,-0.05897036433138855,0.00046913962642431133,1.2828412152125695e-16,0.0,2.7390373851787728e-16,3.0582202877413305e-17
28,29,8.8088609,0.0803863806101566,1.3898536539537414,0.08838965059002103,0.00041142661529468743,0.0883896505900210231625051278243,0.000411426615294687362246019804844,0.0022196431015514637,0.0022196431015514637,-0.05665420136695514,0.0005316442166169803,1.755525036092559e-16,0.0,2.0003647449656353e-16,1.4977468646521233e-16
29,30,8.865185,0.07727101120008491,1.333529553953742,0.08506081964961937,0.0004921865240258643,0.0850608196496193747600305752996,0.000492186524025864536610890985617,0.0025506336363702504,0.0025506336363702504,-0.0543713046631593,0.0005983068684764781,4.937554674153396e-16,0.0,5.390967927338838e-16,8.533557826220201e-17
30,31,8.9205573,0.07420663709598986,1.2781572539537418,0.08180108814549641,0.0005862344689351121,0.0818010881454964018926169988137,0.000586234468935112225278082610559,0.0029159140653957356,0.0029159140653957356,-0.05212097823103021,0.0006686766587346415,1.5516995871155755e-16,0.0,2.8809996616321075e-16,2.3458027576365937e-16
31,32,8.9749504,0.0711916500766383,1.2237641539537414,0.07861024665367233,0.0006951211307616201,0.0786102466536723400921047285461,0.000695121130761620265665506515381,0.003315973641354603,0.003315973641354603,-0.049902909813999356,0.0007419217758926036,2.2874937274030896e-16,0.0,2.7490312651384456e-16,1.8175283849017136e-16
32,33,9.0283917,0.06822443892224905,1.170322853953742,0.07548828788832018,0.0008206026101339658,0.0754882878883201869629652609525,0.000820602610133965448647415396054,0.0037512925455857756,0.0037512925455857756,-0.047716921810997244,0.0008170736198238016,4.767027390980478e-16,0.0,3.8147449823980726e-16,4.0020968588604254e-17
33,34,9.0809082,0.06530355733317986,1.1178063539537426,0.07243550061797033,0.0009645505665261922,0.0724355006179703310121690725795,0.000964550566526192359861389033997,0.004221909815554463,0.004221909815554463,-0.045563187868081105,0.0008929296653575813,1.9821050528352534e-16,1.9158820867418088e-16,1.4546254887070135e-16,1.0850720439153967e-16
34,35,9.1325545,0.062427396088681544,1.0661600539537428,0.06945222577391152,0.0011290671298582239,0.0694522257739115279284538031428,0.00112906712985822435004190771858,0.004727764878512938,0.004727764878512938,-0.04344195139677784,0.0009681017218568115,4.208837316905386e-16,0.0,4.597551761762013e-16,1.0398167228789729e-16
35,36,9.1833033,0.05959455086878358,1.0154112539537419,0.06653879451323835,0.0013160204038561707,0.0665387945132383563344289982739,0.00131602040385617051464986504534,0.005267150452495382,0.005267150452495382,-0.04135404227070659,0.001040760900391827,1.5694984180064968e-16,0.0,1.494673329004385e-16,1.2962969470582224e-16
36,37,9.2331818,0.056803535393203965,0.9655327539537417,0.06369570641409528,0.0015275366140958828,0.0636957064140952595769918330631,0.00152753661409588233174088436499,0.00583843141755476,0.00583843141755476,-0.03930037385884222,0.0011089365111573903,2.934984713378078e-16,2.1787634660322144e-16,4.021281114876974e-16,2.870047399879849e-16
37,38,9.2822173,0.05405290336230045,0.916497253953743,0.06092358172053807,0.0017658188955768184,0.0609235817205380626268595999509,0.00176581889557681806805045810033,0.006439415973527477,0.006439415973527477,-0.03728213836787986,0.0011704074683449605,1.7609565434781766e-16,1.1389504208299106e-16,2.0610088740436812e-16,1.8144312288374506e-16
38,39,9.3304368,0.05134121147497874,0.868277753953743,0.05822310836385205,0.00203313478879137,0.0582231083638520511206022727234,0.00203313478879137050015349953051,0.007067354435572507,0.007067354435572507,-0.03530077283969773,0.001222709984091711,1.7816922409995646e-16,0.0,2.168047853900764e-16,1.343724094784928e-16
39,40,9.3778676,0.048667136372063755,0.8208469539537422,0.05559517092748334,0.0023318172169295263,0.0555951709274833374772300363197,0.00233181721692952581224000126392,0.007718994366728427,0.007718994366728427,-0.03335802313084194,0.001263156781018042,2.2759504294235513e-16,0.0,1.650614317430451e-16,1.2482522975547836e-16
