model,time_index,direction_index,frequency_residual_normalized,direction_residual_normalized
Bianchi_II_large_shear,120,16,1.1102230246251565e-16,5.753978031092914e-12
Bianchi_II_large_shear,120,20,0.0,3.165128765764511e-12
Bianchi_II_large_shear,120,24,0.0,4.414127977271849e-12
Bianchi_II_large_shear,150,0,1.1102230246251565e-16,0.0
Bianchi_II_large_shear,150,1,1.1102230246251565e-16,0.0
Bianchi_II_large_shear,150,6,0.0,2.0170266371086483e-12
Bianchi_II_large_shear,150,8,0.0,2.0170266371086483e-12
Bianchi_II_large_shear,150,9,0.0,2.0170266371086483e-12
Bianchi_II_large_shear,150,16,1.1102230246251565e-16,3.0266144300589977e-12
Bianchi_II_large_shear,150,20,0.0,3.955268309647863e-12
Bianchi_II_large_shear,150,24,0.0,3.979717268161406e-12
Bianchi_II_large_shear,180,0,0.0,0.0
Bianchi_II_large_shear,180,1,0.0,0.0
Bianchi_II_large_shear,180,6,2.220446049250313e-16,8.559674989076199e-13
Bianchi_II_large_shear,180,8,2.220446049250313e-16,8.559674989076199e-13
Bianchi_II_large_shear,180,9,2.220446049250313e-16,8.559674989076199e-13
Bianchi_II_large_shear,180,16,0.0,1.6835728411203218e-12
Bianchi_II_large_shear,180,20,0.0,3.755649254967582e-12
Bianchi_II_large_shear,180,24,0.0,5.709857782416357e-12
Bianchi_II_large_shear,210,0,0.0,0.0
Bianchi_II_large_shear,210,1,0.0,0.0
Bianchi_II_large_shear,210,6,2.220446049250313e-16,4.25935061872302e-12
Bianchi_II_large_shear,210,8,2.220446049250313e-16,4.25935061872302e-12
Bianchi_II_large_shear,210,9,2.220446049250313e-16,4.25935061872302e-12
Bianchi_II_large_shear,210,16,0.0,1.6629555726868517e-12
Bianchi_II_large_shear,210,20,0.0,5.305516265561281e-12
Bianchi_II_large_shear,210,24,0.0,5.358774093486043e-12
Bianchi_II_large_shear,240,0,1.1102230246251565e-16,0.0
Bianchi_II_large_shear,240,1,1.1102230246251565e-16,0.0
Bianchi_II_large_shear,240,6,2.220446049250313e-16,4.862266521614452e-12
Bianchi_II_large_shear,240,8,2.220446049250313e-16,4.862266521614452e-12
Bianchi_II_large_shear,240,9,2.220446049250313e-16,4.862266521614452e-12
Bianchi_II_large_shear,240,16,1.1102230246251565e-16,2.308253523736326e-12
Bianchi_II_large_shear,240,20,0.0,2.4130352778999333e-12
Bianchi_II_large_shear,240,24,0.0,7.540296170514115e-12
Bianchi_VI_h_tilted_large_shear,0,0,3.1599167726881205e-12,3.760980154987484e-12
Bianchi_VI_h_tilted_large_shear,0,1,5.083267140548742e-12,3.828399986363363e-12
Bianchi_VI_h_tilted_large_shear,0,6,1.0628387059341549e-11,4.6158450113531604e-12
Bianchi_VI_h_tilted_large_shear,0,8,5.9629523541104845e-12,4.921394303392591e-12
Bianchi_VI_h_tilted_large_shear,0,9,4.210853887798294e-12,6.506725640718787e-12
Bianchi_VI_h_tilted_large_shear,0,16,3.91313370595725e-12,3.5536052445035544e-12
Bianchi_VI_h_tilted_large_shear,0,20,1.2666756532553336e-11,4.385567579517878e-12
Bianchi_VI_h_tilted_large_shear,0,24,5.685410475742003e-12,5.678594816197451e-12
Bianchi_VI_h_tilted_large_shear,30,0,1.3496981310368028e-11,7.799229219357603e-13
Bianchi_VI_h_tilted_large_shear,30,1,1.4437340212225536e-12,3.0328722739266115e-12
Bianchi_VI_h_tilted_large_shear,30,6,3.4968694606618556e-12,8.853775880901297e-12
Bianchi_VI_h_tilted_large_shear,30,8,1.0118572646433677e-12,8.61390583525061e-12
Bianchi_VI_h_tilted_large_shear,30,9,6.325162615894442e-12,6.862123055731657e-12
Bianchi_VI_h_tilted_large_shear,30,16,3.130273817930629e-13,6.397766092899203e-12
Bianchi_VI_h_tilted_large_shear,30,20,1.0750587974093367e-12,1.0257540416008408e-11
Bianchi_VI_h_tilted_large_shear,30,24,2.4428514766583476e-12,5.45559088915152e-12
Bianchi_VI_h_tilted_large_shear,60,0,2.2248869413488137e-12,3.365305430817476e-12
Bianchi_VI_h_tilted_large_shear,60,1,1.278122052639219e-11,2.0263228777277055e-12
Bianchi_VI_h_tilted_large_shear,60,6,4.099609540730853e-12,7.432401723752681e-12
Bianchi_VI_h_tilted_large_shear,60,8,7.69939667577546e-14,4.5500314892727755e-12
Bianchi_VI_h_tilted_large_shear,60,9,2.403854892918389e-12,7.885492684573386e-12
Bianchi_VI_h_tilted_large_shear,60,16,3.0863922528823196e-12,7.97495880657829e-12
Bianchi_VI_h_tilted_large_shear,60,20,4.2760239793437904e-12,8.072535204175124e-12
Bianchi_VI_h_tilted_large_shear,60,24,9.676870416086558e-12,3.910736781651589e-12
