model,time_index,tau,gauss,Omega_negative,C1,C2,C3,C4,C5,g
Bianchi_II_large_shear,75,0.78125,0.0,0.0,,,,,,
Bianchi_II_large_shear,76,0.7916666666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,77,0.8020833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,78,0.8125,0.0,0.0,,,,,,
Bianchi_II_large_shear,79,0.8229166666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,80,0.8333333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,81,0.84375,0.0,0.0,,,,,,
Bianchi_II_large_shear,82,0.8541666666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,83,0.8645833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,84,0.875,0.0,0.0,,,,,,
Bianchi_II_large_shear,85,0.8854166666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,86,0.8958333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,87,0.90625,0.0,0.0,,,,,,
Bianchi_II_large_shear,88,0.9166666666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,89,0.9270833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,90,0.9375,0.0,0.0,,,,,,
Bianchi_II_large_shear,91,0.9479166666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,92,0.9583333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,93,0.96875,0.0,0.0,,,,,,
Bianchi_II_large_shear,94,0.9791666666666666,0.0,0.0,,,,,,
Bianchi_II_large_shear,95,0.9895833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,96,1.0,0.0,0.0,,,,,,
Bianchi_II_large_shear,97,1.0104166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,98,1.0208333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,99,1.03125,0.0,0.0,,,,,,
Bianchi_II_large_shear,100,1.0416666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,101,1.0520833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,102,1.0625,0.0,0.0,,,,,,
Bianchi_II_large_shear,103,1.0729166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,104,1.0833333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,105,1.09375,0.0,0.0,,,,,,
Bianchi_II_large_shear,106,1.1041666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,107,1.1145833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,108,1.125,0.0,0.0,,,,,,
Bianchi_II_large_shear,109,1.1354166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,110,1.1458333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,111,1.15625,0.0,0.0,,,,,,
Bianchi_II_large_shear,112,1.1666666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,113,1.1770833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,114,1.1875,0.0,0.0,,,,,,
Bianchi_II_large_shear,115,1.1979166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,116,1.2083333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,117,1.21875,0.0,0.0,,,,,,
Bianchi_II_large_shear,118,1.2291666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,119,1.2395833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,120,1.25,0.0,0.0,,,,,,
Bianchi_II_large_shear,121,1.2604166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,122,1.2708333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,123,1.28125,0.0,0.0,,,,,,
Bianchi_II_large_shear,124,1.2916666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,125,1.3020833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,126,1.3125,0.0,0.0,,,,,,
Bianchi_II_large_shear,127,1.3229166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,128,1.3333333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,129,1.34375,0.0,0.0,,,,,,
Bianchi_II_large_shear,130,1.3541666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,131,1.3645833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,132,1.375,0.0,0.0,,,,,,
Bianchi_II_large_shear,133,1.3854166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,134,1.3958333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,135,1.40625,0.0,0.0,,,,,,
Bianchi_II_large_shear,136,1.4166666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,137,1.4270833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,138,1.4375,0.0,0.0,,,,,,
Bianchi_II_large_shear,139,1.4479166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,140,1.4583333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,141,1.46875,0.0,0.0,,,,,,
Bianchi_II_large_shear,142,1.4791666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,143,1.4895833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,144,1.5,0.0,0.0,,,,,,
Bianchi_II_large_shear,145,1.5104166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,146,1.5208333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,147,1.53125,0.0,0.0,,,,,,
Bianchi_II_large_shear,148,1.5416666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,149,1.5520833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,150,1.5625,0.0,0.0,,,,,,
Bianchi_II_large_shear,151,1.5729166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,152,1.5833333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,153,1.59375,0.0,0.0,,,,,,
Bianchi_II_large_shear,154,1.6041666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,155,1.6145833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,156,1.625,0.0,0.0,,,,,,
Bianchi_II_large_shear,157,1.6354166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,158,1.6458333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,159,1.65625,0.0,0.0,,,,,,
Bianchi_II_large_shear,160,1.6666666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,161,1.6770833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,162,1.6875,0.0,0.0,,,,,,
Bianchi_II_large_shear,163,1.6979166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,164,1.7083333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,165,1.71875,0.0,0.0,,,,,,
Bianchi_II_large_shear,166,1.7291666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,167,1.7395833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,168,1.75,0.0,0.0,,,,,,
Bianchi_II_large_shear,169,1.7604166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,170,1.7708333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,171,1.78125,0.0,0.0,,,,,,
Bianchi_II_large_shear,172,1.7916666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,173,1.8020833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,174,1.8125,0.0,0.0,,,,,,
Bianchi_II_large_shear,175,1.8229166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,176,1.8333333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,177,1.84375,0.0,0.0,,,,,,
Bianchi_II_large_shear,178,1.8541666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,179,1.8645833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,180,1.875,0.0,0.0,,,,,,
Bianchi_II_large_shear,181,1.8854166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,182,1.8958333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,183,1.90625,0.0,0.0,,,,,,
Bianchi_II_large_shear,184,1.9166666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,185,1.9270833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,186,1.9375,0.0,0.0,,,,,,
Bianchi_II_large_shear,187,1.9479166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,188,1.9583333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,189,1.96875,0.0,0.0,,,,,,
Bianchi_II_large_shear,190,1.9791666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,191,1.9895833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,192,2.0,0.0,0.0,,,,,,
Bianchi_II_large_shear,193,2.0104166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,194,2.020833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,195,2.03125,0.0,0.0,,,,,,
Bianchi_II_large_shear,196,2.0416666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,197,2.052083333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,198,2.0625,0.0,0.0,,,,,,
Bianchi_II_large_shear,199,2.0729166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,200,2.083333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,201,2.09375,0.0,0.0,,,,,,
Bianchi_II_large_shear,202,2.1041666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,203,2.114583333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,204,2.125,0.0,0.0,,,,,,
Bianchi_II_large_shear,205,2.1354166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,206,2.145833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,207,2.15625,0.0,0.0,,,,,,
Bianchi_II_large_shear,208,2.1666666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,209,2.177083333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,210,2.1875,0.0,0.0,,,,,,
Bianchi_II_large_shear,211,2.1979166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,212,2.208333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,213,2.21875,0.0,0.0,,,,,,
Bianchi_II_large_shear,214,2.2291666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,215,2.239583333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,216,2.25,0.0,0.0,,,,,,
Bianchi_II_large_shear,217,2.2604166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,218,2.270833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,219,2.28125,0.0,0.0,,,,,,
Bianchi_II_large_shear,220,2.2916666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,221,2.302083333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,222,2.3125,0.0,0.0,,,,,,
Bianchi_II_large_shear,223,2.3229166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,224,2.333333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,225,2.34375,0.0,0.0,,,,,,
Bianchi_II_large_shear,226,2.3541666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,227,2.364583333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,228,2.375,0.0,0.0,,,,,,
Bianchi_II_large_shear,229,2.3854166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,230,2.395833333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,231,2.40625,0.0,0.0,,,,,,
Bianchi_II_large_shear,232,2.4166666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,233,2.427083333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,234,2.4375,0.0,0.0,,,,,,
Bianchi_II_large_shear,235,2.4479166666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,236,2.458333333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,237,2.46875,0.0,0.0,,,,,,
Bianchi_II_large_shear,238,2.4791666666666665,0.0,0.0,,,,,,
Bianchi_II_large_shear,239,2.489583333333333,0.0,0.0,,,,,,
Bianchi_II_large_shear,240,2.5,0.0,0.0,,,,,,
Bianchi_VI_h_tilted_large_shear,0,0.0,,,0.0,-3.4514058278034554e-14,2.468632936958315e-13,-1.2687767503294367e-13,1.0870561792576009e-17,
Bianchi_VI_h_tilted_large_shear,1,0.00625,,,0.0,-3.569367024169878e-14,2.48845215267135e-13,-1.2828627049543684e-13,2.554026454820301e-17,
Bianchi_VI_h_tilted_large_shear,2,0.0125,,,0.0,-3.6817771054131754e-14,2.509012962670365e-13,-1.2972956042744954e-13,1.9138973431077022e-17,
Bianchi_VI_h_tilted_large_shear,3,0.018750000000000003,,,0.0,-3.6790015478516125e-14,2.5375535006588734e-13,-1.3136713938877165e-13,8.598656427123464e-17,
Bianchi_VI_h_tilted_large_shear,4,0.025,,,0.0,-4.056477376224166e-14,2.5389673002917945e-13,-1.3249817909510853e-13,1.3899936658346705e-17,
Bianchi_VI_h_tilted_large_shear,5,0.03125,,,0.0,-4.0870085094013575e-14,2.567369060402225e-13,-1.340039190722564e-13,-1.0954458446812427e-17,
Bianchi_VI_h_tilted_large_shear,6,0.037500000000000006,,,0.0,-4.203581926986999e-14,2.5874354742105865e-13,-1.3538475895913393e-13,2.708478121294447e-17,
Bianchi_VI_h_tilted_large_shear,7,0.043750000000000004,,,0.0,-4.200806369425436e-14,2.6165181132853377e-13,-1.370709101777834e-13,4.536675263857708e-17,
Bianchi_VI_h_tilted_large_shear,8,0.05,,,-1.1102230246251565e-16,-4.642120021713936e-14,2.6131831074027723e-13,-1.3805623311213822e-13,9.22581123069482e-18,
Bianchi_VI_h_tilted_large_shear,9,0.05625,,,-1.1102230246251565e-16,-4.633793349029247e-14,2.644087206127299e-13,-1.3959666755880562e-13,-6.412408277659709e-18,
Bianchi_VI_h_tilted_large_shear,10,0.0625,,,0.0,-4.764244554422703e-14,2.6638630537534347e-13,-1.4094281297616362e-13,2.3070711084639898e-17,
Bianchi_VI_h_tilted_large_shear,11,0.06875,,,0.0,-4.769795669545829e-14,2.693689455518511e-13,-1.4257345304358182e-13,4.4838116365166505e-17,
Bianchi_VI_h_tilted_large_shear,12,0.07500000000000001,,,0.0,-5.243028233792302e-14,2.687177737270563e-13,-1.435032648267054e-13,9.13653801385077e-18,
Bianchi_VI_h_tilted_large_shear,13,0.08125,,,0.0,-5.209721543053547e-14,2.7187800621941705e-13,-1.4509227153070015e-13,1.8968988055772384e-17,
