model,direction_index,direction_x,direction_y,direction_z,red_root_count,blue_root_count,red_roots_tau_or_time,blue_roots_tau_or_time,localized_flux_relative_residual,naive_fixed_branch_relative_error,number_residual,four_momentum_residual,total_absolute_flux
Bianchi_II_large_shear,0,-1.0,0.0,0.0,1,1,2.7351511944281051e+13,2.7351511944281051e+13,7.65922881732011e-16,0.06794163470757593,0.0,0.0,89644.55679493482
Bianchi_VI_h_tilted_large_shear,20,-0.5773502691896258,0.5773502691896258,-0.5773502691896258,2,2,4.6253473779550205e+12;5.1791006998073604e+12,4.6253473779550205e+12;5.1791006998073604e+12,6.06889043524635e-16,2.5760502957832116e-06,0.0,0.0,92245.61314614676
Bianchi_VI_minus_1_over_9_exceptional,6,0.0,-0.7071067811865475,-0.7071067811865475,2,2,5.5919577654090742e+13;9.5097407094221797e+13,5.5919577654090742e+13;9.5097407094221797e+13,5.647354280763131e-16,0.00294145609676889,0.0,0.0,100102.22020239147
