model,bianchi_type,chart,trajectory_success,tau_final,cosmic_time_final_s,H_initial_s^-1,H_final_s^-1,Omega_min,Sigma2_max,tilt_speed_max,constraint_max,R_H_over_H_min,R_H_over_H_max,mixed_sign_time_count,selected_direction,selected_root_count,frame_frequency_residual,frame_direction_residual
Bianchi_II_large_shear,II,class_a,True,2.5,2084115658147850.8,5.000000000000008e-14,2.353625263441816e-16,0.4783916666666667,0.49639999999999995,0.0,0.0,-1.8385640646055101,0.39999999999999997,59,0,1,2.220446049250313e-16,7.540296170514115e-12
Bianchi_VI_h_tilted_large_shear,VI_h,class_b_tilted,True,1.5,132964226092616.89,5.000000000000008e-14,4.243868423168e-15,0.07336798896780605,0.6049586405645009,0.6373478931944699,3.1282094969942165e-13,-3.223737406233364,0.37857090057833415,77,20,2,1.490085832500654e-11,1.0853890065529649e-11
Bianchi_VI_minus_1_over_9_exceptional,VI_-1/9,exceptional_VI,True,2.0,396534576208170.2,5.000000000000008e-14,1.4137576995261422e-15,0.37382932697028404,0.45158340297184774,0.0,4.829211862915523e-16,-1.8730475485530906,0.30000000000000004,50,6,2,4.440892098500626e-16,1.1193216413606647e-11
