interior_index,x_left,x_right,red_outflow_s^-1,blue_outflow_s^-1,near_exterior_outflow_s^-1,red_minus_blue_s^-1
0,-4.25,-3.75,7.608900121974382e-06,1.9707323669967323e-10,7.609097195211081e-06,7.608703048737682e-06
1,-3.75,-3.25,4.5092649206191845e-06,1.8080740422569454e-10,4.5094457280234106e-06,4.509084113214958e-06
2,-3.25,-2.75,2.5761774149658742e-06,1.7256214592753183e-10,2.5763499771118017e-06,2.5760048528199467e-06
3,-2.75,-2.25,1.3902369644598104e-06,1.8924137106699442e-10,1.3904262058308774e-06,1.3900477230887435e-06
4,-2.25,-1.75,6.989437159958372e-07,2.927862359036807e-10,6.992365022317409e-07,6.986509297599336e-07
5,-1.75,-1.25,3.246436043597299e-07,6.999138528312659e-10,3.2534351821256115e-07,3.2394369050689863e-07
6,-1.25,-0.75,1.3870944265363366e-07,2.110978478629241e-09,1.408204211322629e-07,1.3659846417500442e-07
7,-0.75,-0.25,5.445605595771086e-08,6.5891053216178714e-09,6.104516127932873e-08,4.786695063609299e-08
8,-0.25,0.25,1.968960331971313e-08,1.9621641275513642e-08,3.931124459522677e-08,6.796204419948826e-11
9,0.25,0.75,6.614003405599198e-09,5.428450018549301e-08,6.089850359109221e-08,-4.767049677989381e-08
10,0.75,1.25,2.1196027242654178e-09,1.3831224928492844e-07,1.4043185200919387e-07,-1.36192646560663e-07
11,1.25,1.75,7.029508434022171e-10,3.238036138028387e-07,3.245065646462409e-07,-3.231006629594365e-07
12,1.75,2.25,2.9412173708657254e-10,6.973249379688846e-07,6.976190597059711e-07,-6.97030816231798e-07
13,2.25,2.75,1.9018768320287561e-10,1.3873976536208323e-06,1.3875878413040352e-06,-1.3872074659376294e-06
14,2.75,3.25,1.7355002798474664e-10,2.5716452837407868e-06,2.5718188337687715e-06,-2.571471733712802e-06
15,3.25,3.75,1.8199232527607337e-10,4.502676853779543e-06,4.502858846104819e-06,-4.502494861454267e-06
16,3.75,4.25,1.9853084635451474e-10,7.600184129531806e-06,7.600382660378161e-06,-7.599985598685452e-06
