exterior_index,side,exterior_left,exterior_right,interior_index,interior_left,interior_right,S0_m^-3_s^-1,S1_m^-3_s^-1,S2_m^-3_s^-1,photon_delta_p0_weighted,photon_delta_ppar_weighted
8,blue,5.25,6.0,16,3.75,4.25,1.4143068257540036e-06,-5.093822508281131e-07,2.8747454586588502e-08,2.766890836333304e-37,-1.0486254827783084e-32
9,blue,6.0,7.0,0,-4.25,-3.75,2.1669791202551875e-17,-1.9720888089259877e-17,1.6412067387046808e-17,2.793318418436637e-47,-2.256066041780097e-43
9,blue,6.0,7.0,1,-3.75,-3.25,1.7008053064108181e-16,-1.570179897263554e-16,1.339191133231859e-16,2.0859389758263233e-46,-1.7829162678568778e-42
9,blue,6.0,7.0,2,-3.25,-2.75,1.3600349319617358e-15,-1.2511390361487807e-15,1.0581679281652095e-15,1.5830705682913716e-45,-1.4232814457613397e-41
9,blue,6.0,7.0,3,-2.75,-2.25,1.0251479232239892e-14,-9.36219645534011e-15,7.800122176781147e-15,1.129318615419987e-44,-1.0690954981693674e-40
9,blue,6.0,7.0,4,-2.25,-1.75,7.141679918473202e-14,-6.464140946954193e-14,5.288283780320104e-14,7.422428130120474e-44,-7.41625701572199e-40
9,blue,6.0,7.0,5,-1.75,-1.25,4.556507550873306e-13,-4.0812619026849467e-13,3.2681848269027235e-13,4.452090715982077e-43,-4.708300105158399e-39
9,blue,6.0,7.0,6,-1.25,-0.75,2.6475674751597326e-12,-2.342563700709227e-12,1.829372546957642e-12,2.422356534119357e-42,-2.7200506454775995e-38
9,blue,6.0,7.0,7,-0.75,-0.25,1.3957848105732054e-11,-1.2173452372798835e-11,9.22906776448743e-12,1.1904251216943442e-41,-1.4243887916615867e-37
9,blue,6.0,7.0,8,-0.25,0.25,6.65944646431099e-11,-5.7099849004967716e-11,4.1789088755538696e-11,5.266890929444289e-41,-6.742481300466289e-37
9,blue,6.0,7.0,9,0.25,0.75,2.8705293212755933e-10,-2.411659879484272e-10,1.691671931998343e-10,2.0925960972346606e-40,-2.879296948175881e-36
9,blue,6.0,7.0,10,0.75,1.25,1.1166623076156381e-09,-9.153398902086614e-10,6.09699899951766e-10,7.450137992901876e-40,-1.107641356272001e-35
