case,exterior_index,interior_index,quadrature_relative,orientation_relative,S0_production,S0_reference
red_adjacent,5,0,2.205123004558185e-09,1.214883979602906e-15,4.898388555939961e-06,4.898388551813516e-06
blue_adjacent,6,16,2.203656199745238e-09,1.8385748633736452e-16,4.859778775897773e-06,4.85977877181636e-06
far_red_center,0,8,7.603086195518705e-12,8.850828284076013e-16,6.051960184189681e-15,6.051960184141118e-15
far_blue_center,11,8,9.211510396787965e-13,8.164115510091992e-16,6.048802970291703e-15,6.0488029702970474e-15
red_cross_resonance,5,16,1.0066215217949013e-08,6.574376687198428e-15,2.3688020872469886e-10,2.36880207298741e-10
blue_cross_resonance,6,0,3.8624590754583255e-09,5.5082298927776155e-15,2.3679600722198563e-10,2.367960066766088e-10
