lane,no_recoil_vs_v032_relative,shift_only_pair_balance_relative,shift_only_opacity_sInv,shift_only_continuous_M1,shift_only_continuous_M2,shift_only_cell_center_M1,shift_only_cell_center_M2,shift_only_vs_v033_drift_relative,elapsed_s
coarse,1.7236726113934745e-08,2.1628735251187506e-05,0.7897985229038489,-0.0004561515681828309,0.329321047085901,-0.0004551968057947196,0.32913811302420887,0.682911999037736,0.8982806205749512
production,2.6158151200059623e-10,2.1628730049949493e-05,0.7897985221972701,-0.00045615156772862444,0.3293210473072059,-0.0004551968054125658,0.32913811125981624,0.6829119987220001,1.4034271240234375
reference,4.148980498332862e-13,2.162872997262335e-05,0.7897985221890721,-0.00045615156778280495,0.32932104730977513,-0.000455196805468423,0.32913811123331976,0.6829119987596631,2.569836139678955
