target_index,source_index,raw_C0_m3_sInv,durable_C0_m3_sInv,projection_factor,raw_C0_relative_difference
0,1,6.412887663397856e-06,6.412880482591676e-06,0.9999988802538643,1.11974738947751e-06
0,2,4.032638416317806e-06,4.032638410041484e-06,0.999999998443619,1.5563810240593057e-09
0,3,2.4841556625784826e-06,2.4841556625811635e-06,1.0000000000010791,1.0791367799356522e-12
0,4,1.4576900674941373e-06,1.4576900674949022e-06,1.0000000000005247,5.24691401437849e-13
0,5,8.009351774606298e-07,8.009351774638246e-07,1.0000000000039888,3.9888092828732624e-12
0,6,4.09405482611091e-07,4.0940548260939233e-07,0.9999999999958509,4.149125487629135e-12
0,7,1.9562137027145092e-07,1.9562137027190543e-07,1.0000000000023235,2.3234747459355276e-12
0,8,8.938556436757043e-08,8.938556436797914e-08,1.0000000000045723,4.572453526918707e-12
0,9,4.1429052283186576e-08,4.142905228336245e-08,1.000000000004245,4.245159779259211e-12
0,10,2.18579376901834e-08,2.185793769026418e-08,1.0000000000036957,3.695821426674684e-12
0,11,1.485073172565764e-08,1.4850731725665867e-08,1.000000000000554,5.540012892879531e-13
0,12,1.3008413271602014e-08,1.3008413271658943e-08,1.0000000000043765,4.3763881407699046e-12
0,13,1.3230529175030911e-08,1.3230529174907195e-08,0.9999999999906491,9.350742402602918e-12
0,14,1.4332631007043145e-08,1.4332631026972331e-08,1.0000000013904764,1.3904765117089823e-09
0,15,1.5876488945393053e-08,1.587649291474449e-08,1.0000002500144365,2.50014373981422e-07
0,16,7.681739415933216e-09,7.681738780983075e-09,0.999999917342921,8.265708584254128e-08
1,2,9.414729326911086e-06,9.414714782452731e-06,0.9999984551379174,1.544864469238405e-06
1,3,6.198257777143799e-06,6.198257752780574e-06,0.9999999960693431,3.930656911066421e-09
1,4,4.061827636820369e-06,4.061827636743598e-06,0.9999999999810995,1.890065881582359e-11
1,5,2.6085921643561806e-06,2.6085921643458633e-06,0.9999999999960448,3.955058502924658e-12
1,6,1.6493794194898313e-06,1.649379419470873e-06,0.9999999999885058,1.1494138973944246e-11
1,7,1.057531374862476e-06,1.0575313748538373e-06,0.9999999999918313,8.168798970586977e-12
1,8,7.248377136903336e-07,7.248377136855207e-07,0.9999999999933601,6.639799821073211e-12
1,9,5.607713578968905e-07,5.607713578924249e-07,0.9999999999920366,7.963407711031323e-12
1,10,4.986896956259116e-07,4.986896956194451e-07,0.9999999999870332,1.2966960838411978e-11
1,11,4.959757527802921e-07,4.959757527731257e-07,0.9999999999855511,1.4448886531681637e-11
1,12,5.286514514251346e-07,5.28651451413352e-07,0.9999999999777118,2.2288171308559868e-11
1,13,5.845557403350829e-07,5.845557408305642e-07,1.0000000008476204,8.476203072760313e-10
1,14,6.573890852050051e-07,6.573891781751966e-07,1.0000001414233877,1.414233676833021e-07
1,15,3.515835098730807e-07,3.51583386189294e-07,0.9999996482093636,3.5179076007807453e-07
1,16,1.5846336373874387e-08,1.5846343628490402e-08,1.0000004578103003,4.578100907259852e-07
2,3,2.9754879474818702e-05,2.9754770871994974e-05,0.9999963500835612,3.6499297606518155e-06
2,4,2.320249807277192e-05,2.3202497812599352e-05,0.9999999887868726,1.1213127537601508e-08
2,5,1.856619486560411e-05,1.856619486515761e-05,0.999999999975951,2.4048985025615366e-11
2,6,1.530891964498748e-05,1.530891964498014e-05,0.9999999999995206,4.793943020331426e-13
2,7,1.3183917663745376e-05,1.318391766380365e-05,1.00000000000442,4.420130927940136e-12
2,8,1.203411879949759e-05,1.2034118799603407e-05,1.000000000008793,8.793077377333702e-12
2,9,1.1724015306951197e-05,1.1724015307062043e-05,1.0000000000094547,9.454659277707833e-12
2,10,1.2134272434335355e-05,1.2134272434403981e-05,1.0000000000056557,5.65558710974301e-12
2,11,1.3170587109525995e-05,1.3170587109526151e-05,1.0000000000000118,1.1879386363489175e-14
2,12,1.4765617200766056e-05,1.4765617208622691e-05,1.00000000053209,5.32089927673951e-10
2,13,1.68621632527564e-05,1.6862164420248584e-05,1.0000000692373905,6.923738571362748e-08
2,14,1.0009138289709733e-05,1.0009132180943722e-05,0.9999993896811259,6.103192464745888e-07
2,15,6.554623054759551e-07,6.554625741103181e-07,1.0000004098395296,4.0983936167027224e-07
2,16,1.4305033154291823e-08,1.4305033173661868e-08,1.000000001354072,1.3540720766869185e-09
3,4,0.00029007485156122895,0.0002900736889271699,0.9999959919515504,4.00806451406055e-06
3,5,0.00024569460468955724,0.00024569460236189015,0.9999999905261775,9.473822615291283e-09
3,6,0.00021420226828092876,0.00021420226827446924,0.9999999999698439,3.015609983947343e-11
3,7,0.00019479007632100312,0.0001947900763190697,0.9999999999900744,9.925615884753825e-12
3,8,0.00018708788807572855,0.0001870878880746425,0.999999999994195,5.8049121065550935e-12
3,9,0.00019087009100338418,0.00019087009100236533,0.999999999994662,5.337952302397753e-12
3,10,0.00020593554175088086,0.00020593554174842796,0.999999999988089,1.191091669738853e-11
3,11,0.00023206665694187637,0.00023206665701247563,1.0000000003042198,3.042197604941066e-10
3,12,0.000268868214550046,0.00026886822136837644,1.0000000253593773,2.5359376487621432e-08
3,13,0.00017769173319417004,0.00017769158342901664,0.9999991571630784,8.428376319091768e-07
3,14,1.680278320692151e-05,1.6802789047023902e-05,1.0000003475675618,3.4756744105024495e-07
3,15,5.828355108531814e-07,5.828355113311141e-07,1.000000000820013,8.200130574564923e-10
3,16,1.3204969619021344e-08,1.32049696188827e-08,0.9999999999895006,1.0499379143880105e-11
4,5,0.0027181062447071773,0.0027180978088554423,0.9999968964231065,3.1035865257766915e-06
4,6,0.0023133846067703357,0.0023133845936684507,0.9999999943364865,5.663513658049624e-09
4,7,0.0020697549021818054,0.0020697549021750157,0.9999999999967195,3.2804869931624125e-12
4,8,0.0019856495473443447,0.001985649547357996,1.000000000006875,6.875056079991282e-12
4,9,0.002060135925241969,0.0020601359252544558,1.0000000000060612,6.061262602941042e-12
4,10,0.002292289740377811,0.0022922897408021213,1.0000000001851033,1.8510326604825877e-10
4,11,0.0026795417494696414,0.0026795417548556326,1.000000002010042,2.0100419106938716e-09
4,12,0.0019736453612148206,0.0019736433164853563,0.9999989639833455,1.0360177278290195e-06
4,13,0.00026786298514376556,0.0002678630604177595,1.0000002810167814,2.810167024636101e-07
4,14,1.4713748320129286e-05,1.471374832772896e-05,1.0000000005165015,5.165016192520966e-10
4,15,5.271050091913941e-07,5.271050091829347e-07,0.9999999999839512,1.6048939954771413e-11
4,16,1.2983261255237824e-08,1.2983261255361306e-08,1.0000000000095108,9.510836562753866e-12
5,6,0.016953695463670804,0.016953657825746593,0.9999977799575147,2.220047413903359e-06
5,7,0.014630470020109653,0.014630469974890956,0.9999999969092793,3.090720790410728e-09
5,8,0.013850522252349937,0.013850522252308713,0.9999999999970236,2.9762858844151197e-12
5,9,0.014607569961318626,0.014607569962766359,1.0000000000991083,9.910838816296064e-11
5,10,0.01688744351587948,0.016887443385633125,0.9999999922873847,7.712615435195858e-09
5,11,0.013793669308009614,0.013793653029149892,0.9999988198310864,1.1801703063696323e-06
5,12,0.0026697751321596913,0.002669775711004677,1.0000002168141349,2.168140879055258e-07
5,13,0.0002312088988615474,0.00023120889892870938,1.0000000002904819,2.904818607873949e-10
5,14,1.3124893420892426e-05,1.3124893420993336e-05,1.0000000000076885,7.688516490134134e-12
5,15,4.945454729191427e-07,4.945454729152133e-07,0.9999999999920544,7.94564414263732e-12
5,16,1.482103118747157e-08,1.4821031187544366e-08,1.0000000000049116,4.911737683244155e-12
6,7,0.06971020669365992,0.06971010457057156,0.9999985350339182,1.4649682278378151e-06
6,8,0.06454632794936857,0.06454632785793667,0.9999999985834686,1.416531558717793e-09
6,9,0.06962426651001866,0.06962426587352678,0.9999999908581891,9.14181086386634e-09
6,10,0.06155629064067477,0.06155621247729326,0.9999987302129368,1.2697886755397292e-06
6,11,0.01683191002809164,0.016831912693683886,1.000000158365405,1.583653798098439e-07
6,12,0.0022841639171085567,0.00228416391750868,1.0000000001751728,1.7517265415989414e-10
6,13,0.00020519178748983633,0.00020519178748871716,0.9999999999945457,5.454303675378469e-12
6,14,1.2093019291260817e-05,1.2093019291467962e-05,1.0000000000171294,1.7129297980034153e-11
6,15,4.972733939452536e-07,4.972733939437838e-07,0.9999999999970443,2.9556357361570917e-12
6,16,2.1808363140029858e-08,2.1808363140261217e-08,1.0000000000106086,1.0608736111805683e-11
7,8,0.20885643368624165,0.20885626418697983,0.9999991884412712,8.115593874702398e-07
7,9,0.18433470867255428,0.18433446861779168,0.9999986977234818,1.3022782141547395e-06
7,10,0.06943707905877212,0.06943708642868468,1.000000106137998,1.0613798673286823e-07
7,11,0.01456236307894117,0.014562363080228576,1.0000000000884064,8.840639331708644e-11
7,12,0.0020531374386383735,0.00205313743864439,1.0000000000029303,2.930322651195638e-12
7,13,0.00019020177416657758,0.00019020177416572502,0.9999999999955176,4.482414439621607e-12
7,14,1.1685102364325635e-05,1.1685102364488528e-05,1.0000000000139402,1.394018234179839e-11
7,15,5.591658262910724e-07,5.59165826287604e-07,0.9999999999937972,6.2028160385807496e-12
7,16,4.1314825672383155e-08,4.131482567247334e-08,1.000000000002183,2.1828094887155203e-12
8,9,0.20847125669530994,0.20847110080088602,0.9999992522018316,7.477987276072184e-07
8,10,0.06439283486433318,0.06439283477223874,0.9999999985698029,1.430197071883299e-09
8,11,0.013810707885421748,0.01381070788529336,0.9999999999907037,9.296341474396286e-12
8,12,0.001979214547747192,0.0019792145477489117,1.0000000000008689,8.68749516769185e-13
8,13,0.0001864536586500774,0.00018645365864850664,0.9999999999915756,8.424372310855688e-12
8,14,1.1994887587099344e-05,1.1994887587210433e-05,1.0000000000092613,9.261258426818131e-12
8,15,7.226292508620813e-07,7.226292508554843e-07,0.9999999999908709,9.129141886887737e-12
8,16,8.908741812690632e-08,8.908741812681756e-08,0.9999999999990038,9.963141422986155e-13
9,10,0.06955966943022851,0.06955956743126888,0.999998533648011,1.4663541392234691e-06
9,11,0.014590750068371895,0.014590750023035937,0.9999999968928289,3.107171187011204e-09
9,12,0.00206329186376136,0.002063291863747775,0.999999999993416,6.583844580632103e-12
9,13,0.00019414572591185705,0.00019414572591010504,0.9999999999909758,9.024336833363122e-12
9,14,1.3140895097380594e-05,1.3140895097495736e-05,1.000000000008762,8.76210215494666e-12
9,15,1.0539179923550892e-06,1.0539179923475467e-06,0.9999999999928435,7.156497616733759e-12
9,16,1.9485458961294012e-07,1.9485458961294703e-07,1.0000000000000355,3.5416114485542494e-14
10,11,0.01690852481157866,0.016908487245687973,0.999997778286923,2.2217180128958347e-06
10,12,0.0023062750115048405,0.0023062749983819054,0.9999999943099002,5.690099946775717e-09
10,13,0.00021350043402216146,0.00021350043401717987,0.9999999999766671,2.333289117473214e-11
10,14,1.5257548276650573e-05,1.5257548276804896e-05,1.0000000000101146,1.0114464821242564e-11
10,15,1.6429345849445208e-06,1.6429345849346133e-06,0.9999999999939696,6.030287380554e-12
10,16,4.0756607341826046e-07,4.0756607341722475e-07,0.9999999999974588,2.5413005033669833e-12
11,12,0.00270970169610267,0.00270969328080281,0.9999968943814471,3.1056281977193123e-06
11,13,0.0002448839439959982,0.0002448839416628783,0.9999999904725484,9.527451716451196e-09
11,14,1.8500530462808013e-05,1.8500530462485633e-05,0.9999999999825745,1.7425394460701682e-11
11,15,2.5970084810255127e-06,2.597008481021748e-06,0.9999999999985504,1.4495071809506044e-12
11,16,7.968872815839598e-07,7.96887281586719e-07,1.0000000000034626,3.4624525468984757e-12
12,13,0.0002890975754692784,0.00028909641601584463,0.9999959894045051,4.010611579730039e-06
12,14,2.3114558701827176e-05,2.3114558440871154e-05,0.9999999887103178,1.1289682300130721e-08
12,15,4.041636967748258e-06,4.041636967681113e-06,0.9999999999833866,1.6613377340490842e-11
12,16,1.4495265716114409e-06,1.449526571612207e-06,1.0000000000005285,5.28577182024037e-13
13,14,2.9632705526640816e-05,2.9632597245870344e-05,0.9999963459033339,3.654110018569412e-06
13,15,6.164281347610748e-06,6.164281323169784e-06,0.9999999960350668,3.964933270594884e-09
13,16,2.4689356160860338e-06,2.4689356160838946e-06,0.9999999999991336,8.664180484174722e-13
14,15,9.358462086886364e-06,9.358447609323398e-06,0.9999984529976367,1.5470047565191436e-06
14,16,4.005900705584218e-06,4.005900699294856e-06,0.9999999984299756,1.5700243327643193e-09
15,16,6.367253735259455e-06,6.3672466013446236e-06,0.9999988795931295,1.1204081258320286e-06
