state_index,production_C0_m3_sInv,reference_C0_m3_sInv,C0_relative_difference,conditional_M2_M4_relative_l2,conditional_M2_relative,conditional_M4_relative
0,8.190388493369393e-06,8.190400777687178e-06,1.4998433066626404e-06,1.6030337239286528e-06,1.6039375135463954e-06,1.4932156408239735e-06
8,0.3755315733833957,0.37553190439590467,8.814497651776776e-07,9.294596835289035e-07,9.300722070778831e-07,8.631790342451107e-07
16,8.12817665379446e-06,8.128188852942611e-06,1.5008445759523426e-06,1.6041979170824565e-06,1.6051019703573946e-06,1.4943497262974902e-06
