background_model,local_action_sha256,maximum_difference_from_common_local_state,microphysics_api_geometry_argument
Bianchi_II_large_shear,e0796a9b490d0fc724c70b7a1ba81d09ad4840ce7542d469efa91d8c726fda57,0.0,ABSENT_BY_DESIGN
Bianchi_VI_h_tilted_large_shear,e0796a9b490d0fc724c70b7a1ba81d09ad4840ce7542d469efa91d8c726fda57,0.0,ABSENT_BY_DESIGN
Bianchi_VI_minus_1_over_9_exceptional,e0796a9b490d0fc724c70b7a1ba81d09ad4840ce7542d469efa91d8c726fda57,0.0,ABSENT_BY_DESIGN
