state,number_residual_m3_s,relative_number_action,free_energy_production_m3_s,photon_power_W_m3,atom_power_W_m3,energy_ledger_residual_W_m3
BE_family_q0p71,0.0,0.0,0.0,0.0,-0.0,0.0
non_equilibrium_stress,-1.52569580078125,7.472791093598188e-17,-4465589314720036.5,-4.828152462651929e-07,4.828152462651929e-07,0.0
