target_index,source_index,production_C0_m3_sInv,reference_C0_m3_sInv,C0_relative_difference,conditional_M1_M4_relative_l2,conditional_M1_relative,conditional_M2_relative,conditional_M3_relative,conditional_M4_relative
0,1,6.412887663397856e-06,6.412880506820613e-06,1.115969217702073e-06,1.1177560914896358e-06,1.1147702527112853e-06,1.128438632498944e-06,1.117057738678423e-06,1.1160721067231915e-06
0,16,7.681739415933216e-09,7.681738780343567e-09,8.27403361380874e-08,1.1514144134486393e-07,2.9128708816040765e-08,5.8133934050695486e-08,8.696149812776056e-08,1.1555642111147951e-07
4,12,0.0019736453612148206,0.001973643316486091,1.0360173556822616e-06,1.2314328225523498e-07,3.7589564690008935e-08,7.1007204115634e-08,1.0008135058939454e-07,1.2467405634481971e-07
7,8,0.20885643368624165,0.20885626481582747,8.085484739517312e-07,8.035481949338691e-07,8.012073998701368e-07,8.111119646452579e-07,8.039112524338473e-07,8.040988182956111e-07
7,9,0.18433470867255428,0.18433446863268063,1.3021974425431182e-06,7.7144410733111e-08,3.297771177753888e-08,1.2955824330748119e-08,4.529616287470574e-08,1.3190630276922236e-07
8,9,0.20847125669530994,0.20847110110388714,7.463452822431549e-07,8.070283702507287e-07,8.081615815689274e-07,8.12241241878401e-07,7.936777172738671e-07,7.813717049511229e-07
