model,success,tau_final,event_time,constraint_max,Omega_min,Sigma2_initial,Sigma2_final,K_initial,K_final,Omega_initial,Omega_final,q_initial,q_final,type_sign_drift,codazzi_radicand,Hbar_initial,Hbar_final,maximum_tilt_speed_squared,friedmann_max,codazzi_max,final_a1,final_a2,final_a3,final_rho,reference_hierarchy_scale_factor_relative,reference_final_a,hierarchy_final_a
VI_0_radiation,True,8.0,nan,0.0,0.18859671104758113,0.16249999999999998,0.24394956224629225,0.3333333333333333,0.2592859205033307,0.5041666666666667,0.496764517250377,0.8291666666666666,0.9846636417429615,0.0,,,,,,,,,,,,,
VI_h_kappa_minus4_dust,True,5.0,nan,1.0202681256267498e-16,0.1617056227553766,0.2725,0.11644309859803459,0.52,0.31638867289945694,0.20750000000000002,0.5671682285025085,0.64875,0.5164703114473235,0.0,0.0755,,,,,,,,,,,,
VI_star_minus1over9,True,3.0,nan,8.023096076392733e-17,0.43765944022111414,0.07261487483155919,0.2112959431646722,0.1476,0.3510446166142137,0.7797851251684409,0.43765944022111414,0.769057849797871,0.7727194385062357,0.0,,,,,,,,,,,,,
IX_isotropic_closed_dust,True,1.404237147316248,1.404237147316248,2.220446049250313e-15,0.499999999999999,0.0,0.0,0.43875,0.500000000000001,0.56125,0.499999999999999,0.280625,0.2499999999999995,0.0,,0.35,1.734723475976807e-18,,,,,,,,,,
class_B_tilted_gamma1p3,True,1.5,nan,8.673617379884035e-17,0.8309196473693318,0.147968935248508,0.028460396391107198,0.011251092335480677,0.140619956239561,0.8407799724160113,0.8309196473693318,1.0948586596534375,0.8464634110515055,0.0,,,,0.003764863226939299,,,,,,,,,
type_V_kinetic_Einstein,True,nan,nan,2.912518155540056e-07,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,,,,,2.912518155540056e-07,7.307691734723121e-11,1.2256795280741135,1.167447347790322,1.2838219461116802,32.916273156996795,,,
I_kinetic_Einstein_hierarchy,True,nan,nan,1.1906926901399166e-08,nan,nan,nan,0.0,0.0,nan,nan,nan,nan,0.0,,,,,,,,,,,1.1906926901399166e-08,"[1.2231558627888373, 1.1025255315365676, 1.3385145230897366]","[1.2231558481966422, 1.1025255189311862, 1.3385145067610413]"
