variant,Sigma2_initial,Sigma2_final,H_enhancement_max,z_star,z_star_shift,xe_relative_max,xe_relative_at_z1100
standard_FLRW,0.0,0.0,1.0,1079.5994993742179,0.0,0.0,0.0
mild_BI_H_only,0.0005,1.3725472040334846e-06,1.0002500937890795,1079.5994993742179,0.0,5.748816268441715e-05,5.634742079952503e-05
stress_BI_H_only,0.008,2.2126329985300516e-05,1.0040241611281235,1079.5994993742179,0.0,0.0009232678038515179,0.0009053711329775815
