target_z,epsilon,relative_error,analytic_norm,numeric_norm
1300.0,0.0002,2.8106535596360723e-10,16052.073618018583,16052.073618601782
1300.0,0.0001,5.707296718037789e-10,16052.073618018583,16052.073617560543
1300.0,5e-05,1.1797351498685002e-09,16052.073618018583,16052.073618225899
1100.0,0.0002,2.9666904892817196e-10,17030.670853014246,17030.67085248357
1100.0,0.0001,5.314576516937454e-10,17030.670853014246,17030.670853350817
1100.0,5e-05,1.090767660314527e-09,17030.670853014246,17030.670849986385
900.0,0.0002,3.1171214720655913e-10,15752.343658686614,15752.343658958871
900.0,0.0001,5.663465283638547e-10,15752.343658686614,15752.343660114237
900.0,5e-05,1.26832969415376e-09,15752.343658686614,15752.343657678097
