target_z,snapshot_z,state_classification,q_activity,packet_count,componentwise_passed,epsilon_snapshot,backward_error_relative,number_relative_residual,net_scaled_residual_diagnostic,jvp_relative_error,minimum_occupation,collision_entropy_production,transported_energy_residual_J_per_H,interface_atom_source_J_per_H,restart_exact,v056_replay_exact,native_matrix_relative_residual,native_direct_source_relative,native_schur_direct_relative,native_collision_flux_relative,native_structural_flux_relative,native_moment_relative,native_edge_jvp_relative,branch_zero_localized
1300.0,1299.9971824762927,operator_verification,1.0,2,True,0.0,1.3200190226745005e-17,2.5609198306764287e-14,1.73712431307357e-10,1.1797351498685002e-09,5.2561436793919615e-18,-1.0256363871465551e-25,0.0,0.0,True,True,2.684710372049196e-15,5.992569080592024e-16,7.990092107456029e-16,2.2075254347349184e-12,2.0517225706554158e-11,9.509636605468367e-14,8.097502477006924e-09,True
1100.0,1099.9986525171403,operator_verification,1.0,2,True,0.0,1.3191964236269897e-17,1.3842809895548262e-16,1.7360417856396494e-10,1.090767660314527e-09,7.154911099876927e-18,-2.163963442910934e-27,0.0,0.0,True,True,2.1714866434858067e-14,3.5248307871551763e-15,1.1881452091534302e-15,8.57815596440939e-12,5.971386931969449e-12,1.2501468500308307e-13,2.442201136481163e-09,True
900.0,900.0168986313175,operator_verification,1.0,2,True,0.0,1.3191911130968129e-17,0.0,1.7360347970652978e-10,1.26832969415376e-09,7.24456122449734e-18,-4.657845748059254e-30,0.0,0.0,True,True,3.599684962088726e-14,1.4020147467118682e-15,9.692941458748719e-16,1.1379181103062197e-12,1.2268116485600865e-11,4.164893427891412e-13,1.3371734669881895e-09,True
