side,target_frequency_Hz,target_energy_eV_rescaled,source_index,source_energy_eV_rescaled,eta_target,eta_query,left_index,right_index,fraction,distortion_occupation,blackbody_occupation,total_occupation,thermal_zero,locked_total_occupation,locked_relative_difference
red,2464837004301970.5,10.193746776874235,136,10.194417,-7.003972912850124,-7.004038659146194,5126,5127,0.22560310870903777,7.813455699644777e-15,7.859095338293022e-18,7.82131479498307e-15,False,7.822346881651347e-15,0.00013194079524869728
blue,2467298087282497.5,10.203924998256248,144,10.204524,-7.003972912850124,-7.004031614199156,5126,5127,0.3085824613381192,7.266850065114118e-15,7.556035343046807e-18,7.274406100457166e-15,False,7.27537886017692e-15,0.00013370571326243308
