metric,value,gate
direct_relative_residual,2.7442106410799882e-14,1e-12
structured_Schur_relative_residual,8.47577313336223e-15,1e-12
direct_vs_Schur_relative_difference,1.1146021991616335e-15,1e-12
Tvv_dense_vs_structured_max_relative_difference,4.6158712974297176e-17,1e-13
minimum_Tvv_diagonal_dominance_margin,1.4654788245943413,0.0
equilibrium_null_solution,0.0,0.0
