virtual_index,Eb_eV,Aup_s_inv,Adn_s_inv,target,reconstructed,relative_residual
100,10.023854,0.02936084502560971,0.0,1.8622202865591502e-06,1.8622202865591502e-06,0.0
101,10.031818,0.0012715847590552994,0.03027941405488415,1.997428005480064e-06,1.997428005480064e-06,0.0
102,10.039597,0.03582941887268054,0.0013104288444598584,2.1460828662939424e-06,2.1460828662939424e-06,0.0
103,10.047192,0.0033046006699608273,0.03689765691095109,2.3099036852256363e-06,2.3099036852256363e-06,0.0
104,10.054603,0.044127178094695026,0.003400704566206974,2.4908805861136763e-06,2.4908805861136763e-06,0.0
105,10.061829,0.006491479884743934,0.045377993386105146,2.6913263288777296e-06,2.6913263288777296e-06,0.0
106,10.068871,0.054922821894709456,0.006670735818964252,2.9139393816644294e-06,2.9139393816644294e-06,0.0
107,10.075729,0.011437505898442444,0.05639930636537609,3.161881314552207e-06,3.161881314552207e-06,0.0
108,10.082402,0.06925800622799319,0.011736577340642805,3.4388724675654093e-06,3.4388724675654093e-06,0.0
109,10.088891,0.019091124971989167,0.07101842114373043,3.74931122061764e-06,3.74931122061764e-06,0.0
110,10.095196,0.08863234189150837,0.019562458898644778,4.0984230522978276e-06,4.0984230522978276e-06,0.0
111,10.101317,0.030994600191894404,0.09075593604983548,4.492448782441708e-06,4.492448782441708e-06,0.0
112,10.107253,0.11554052823382907,0.03171451457745644,4.938883226590989e-06,4.9388832265909895e-06,1.7150293060055923e-16
113,10.113004,0.04965485183132709,0.11813962625688477,5.446780818062395e-06,5.446780818062395e-06,0.0
114,10.118572,0.1537167716765703,0.05073591627994139,6.027149622678852e-06,6.027149622678852e-06,0.0
115,10.123955,0.07940802992463497,0.1569510721318799,6.69346416515413e-06,6.69346416515413e-06,0.0
116,10.129153,0.20966887782614768,0.08102082615930005,7.46233768307227e-06,7.462337683072269e-06,-1.1350772147121248e-16
117,10.134168,0.12764876561838742,0.21377592312745644,8.354417854473628e-06,8.354417854473628e-06,0.0
118,10.138998,0.29484187352196384,0.13005607799772378,9.395580872157997e-06,9.395580872157997e-06,0.0
119,10.143643,0.20802729043178944,0.3001873658657713,1.0618557799924557e-05,1.0618557799924557e-05,0.0
120,10.148105,0.4292062680560686,0.21164895767758946,1.2065167017188674e-05,1.2065167017188674e-05,0.0
121,10.152382,0.34663740214715305,0.4363661876018144,1.3789423143009446e-05,1.3789423143009446e-05,0.0
122,10.156475,0.6522962153650975,0.35216918383346013,1.5861937191876638e-05,1.5861937191876638e-05,0.0
123,10.160383,0.5957766944809663,0.6622317555983281,1.8376246702788323e-05,1.8376246702788323e-05,0.0
124,10.164107,1.0434318106585372,0.6044210042639006,2.1458086943684613e-05,2.145808694368461e-05,-1.57895333256368e-16
