ell,exact_offdiagonal_norm_s^-1,relative_to_no_recoil_Hummer,relative_to_v033_completion,minimum_exact_rate_s^-1,maximum_exact_rate_s^-1
0,0.46129170759623783,0.0007424313461390491,0.0006414844413311455,6.338418585482334e-09,0.17294009406735333
1,0.12031387778453928,0.001846214612331673,0.0017552119246861573,-0.060877725696833904,0.022741682461460265
2,0.052965807318033895,0.0024998600675503442,0.0024383767837668443,-0.008030327074637052,0.025701401972979127
3,0.031012185551875994,0.002467843614208067,0.0024069559431854895,-0.020033010523898647,0.001680792839889772
4,0.020914743793171185,0.0018962727765227873,0.0018445414368510372,-0.0076779604831120115,0.006336030310848393
5,0.010672445862513051,0.0017921144469432073,0.0017052036201161264,-0.005190620783700154,0.0023134676727261986
6,0.010899136488673689,0.0007338838974619053,0.0006316970612521435,-0.004433573304580556,0.003269637365965371
