target_i,source_j,x_i,x_j,production_reference_relative,independent_orientation_relative,mode_weighted_Hummer_vs_v032_relative
8,9,0.0,0.5,2.1781603775116135e-09,5.129951921007909e-16,3.883822105971423e-05
7,9,-0.5,0.5,1.6511835724283276e-11,7.043597533428895e-16,1.6671963783505277e-05
4,12,-2.0,2.0,2.4965359475125178e-11,5.967390795853781e-16,4.49759024532733e-05
0,1,-4.0,-3.5,2.242119207271735e-09,2.547393042584156e-16,2.312966460059449e-05
0,8,-4.0,0.0,6.948373452221607e-13,4.92446431927915e-16,2.89882104718455e-05
0,16,-4.0,4.0,3.8889882883650944e-11,6.979742504626384e-16,8.54201180341115e-05
