state,exact_action_norm,exact_vs_Hummer_relative,exact_vs_v033_relative,exact_number_residual,exact_entropy_production
smooth_L8,0.0001695292678702548,4.23778838544321,0.0007308332283330635,1.662592664817693e-17,-1.719383929703772e-07
smooth_L2,0.0026339563873539174,0.2723645112067085,0.0007230201576547752,7.140900673915538e-17,-3.9239756234590934e-05
narrow_core,0.04220180116664084,0.017214394734836685,0.0004726633824290514,1.2479789706873286e-16,-0.003173695832232041
odd_red_blue,0.04810523412346463,0.01422665898706978,0.0004333412543025071,5.812411221591688e-17,-0.004536709395895324
thermal_ratio_stress,0.11722283868608696,0.005859663133480984,0.0004951741046011717,2.1096880210673408e-16,-0.0407182112160584
