sample,x_target,x_source,mu,pair_over_Hummer,relative_residual
0,3.582959227572253,1.7562158010770101,-0.5843630466128924,1.0000000059881455,5.9881455349852786e-09
1,0.9706738464782247,0.27739124975774754,0.7754466152745536,1.0000000061740564,6.17405637726165e-09
2,1.443384397250223,3.277337147253742,-0.7255811538681458,1.0000000051349351,5.134935143757957e-09
3,3.3176389853301282,2.8115530013300054,0.040229776856820054,0.9999999959969175,-4.003082532122448e-09
4,4.0,3.7948794794929457,0.1644330252366346,0.9999999948208853,-5.179114692666076e-09
5,0.019087919658330676,-2.6120032256041004,-0.7143291848961997,1.0000000164821212,1.6482121223404533e-08
6,-1.0793741069979013,0.4276580565338177,0.4386949587865021,1.0000000165260345,1.6526034540831347e-08
7,4.0,3.207455746282026,0.787140073216176,1.0000000105764357,1.0576435727216449e-08
8,4.0,1.7635500069286412,-0.7922113502218258,1.0000000097068467,9.706846659796042e-09
9,1.0526813433456188,0.9873619725062044,0.14796890376916916,0.9999999945745607,-5.425439320028147e-09
10,2.969692260464562,2.2810356197930304,0.46124385449765914,0.9999999993289074,-6.710926259145822e-10
11,3.316745289568808,0.8301007992440823,0.10559553502889396,1.0000000321007174,3.210071741754916e-08
12,-3.3952955722551517,-1.2181321917627228,-0.687099091828309,1.0000000098088404,9.808840406577701e-09
13,-2.113426814959012,-3.756384922808941,-0.23893060569154778,1.0000000063821708,6.382170791852104e-09
14,4.0,3.588612567298255,-0.5392574125951123,0.9999999951445835,-4.855416513294131e-09
15,-2.382772679297715,-2.027993230272423,0.32974616533937984,0.9999999955674389,-4.4325610959461414e-09
16,-1.3781431434559321,1.3217820726638578,-0.8499206019425832,1.000000015951892,1.5951892029519854e-08
17,3.5343309067058755,3.2292230928772803,-0.9695485166602387,0.9999999948041028,-5.195897156973217e-09
18,2.7291084746952947,2.5213499188459725,0.46954742314687015,0.999999994989361,-5.010639014813023e-09
19,-0.6224638543361591,-0.006694549187002075,0.9031929937254277,1.0000000158230975,1.5823097498923744e-08
20,-0.31370150777702843,-0.08851869900544518,-0.3196473389330037,0.9999999947560837,-5.2439163011896994e-09
21,-1.9520413975610231,-2.227795682638093,-0.18518934792082642,0.9999999948958642,-5.104135780698016e-09
22,-2.463229300055561,1.4230166213866706,-0.7525991725090335,1.000000041356784,4.1356783997414936e-08
23,-2.165794182457499,0.26346751953403835,0.28569709268337573,1.0000000394241246,3.942412463153744e-08
24,-3.331297339472104,-1.0156010092786394,-0.8263377982658019,1.000000010496506,1.049650610873698e-08
25,-2.7481739644883914,-2.682740081933094,-0.6964788139539606,0.9999999945610686,-5.438931416357207e-09
26,-0.5038112773099064,1.217971461418533,-0.8719672794005844,1.0000000031496452,3.1496452113088935e-09
27,0.5590529904349086,-2.6586392446957188,-0.19675329975193923,1.0000000415410701,4.154107013931707e-08
28,1.1004991100851784,1.5524719707439996,0.2738725965249371,0.9999999960755129,-3.924487068651672e-09
29,0.6162322478551281,1.3100153452468994,-0.5878005841470455,0.9999999961940322,-3.80596776317077e-09
30,-3.1738585732291043,-2.652985161552004,-0.1008276895854684,0.9999999958861132,-4.113886786782928e-09
31,-1.2910177413619284,-3.735228031934171,-0.7320340772317132,1.000000013283324,1.328332399630483e-08
32,2.7101353964009176,2.2376289838813657,0.9229621097674225,1.000000010289595,1.0289594953860615e-08
33,-3.6783524181899017,-1.5067785198988783,-0.08406916248976881,1.0000000181764839,1.8176483873588722e-08
34,-1.4327083938468812,-2.4906974101948647,0.43385873428019295,1.0000000052870768,5.287076776383515e-09
35,-0.8445242878964572,-3.4396094847957146,-0.6148460441789803,1.000000017200451,1.7200451063459354e-08
36,-1.7471320505167707,-2.124727232469205,0.835246240950742,0.9999999992481732,-7.518268230199965e-10
37,3.06499820674709,1.4994664922639993,-0.23616419068301042,1.00000000531704,5.317039919461308e-09
38,4.0,3.82116421126731,0.2118069130560214,0.9999999947677671,-5.232232869190057e-09
39,-3.428382179992586,-1.8753069432354676,-0.7078310215618019,1.0000000022191269,2.2191268822524535e-09
40,-3.1885808798450284,-3.1879371176382643,-0.07874021801508901,0.9999999945473637,-5.452636342440087e-09
41,1.96269102659747,1.7666636419787514,0.4258005439244186,0.9999999949108775,-5.089122456780615e-09
42,-1.3158177714213584,-0.20184641219005517,0.7965494059676181,1.0000000276791148,2.7679114777967584e-08
43,4.0,3.890643480872991,-0.27597434526414677,0.9999999945982749,-5.401725067244456e-09
44,-1.1173931964352048,-0.7848073353423235,-0.24484843458239947,0.9999999950300262,-4.969973765867053e-09
45,-1.898820211261579,-2.4812047553447627,0.41380122126205476,0.9999999976902546,-2.3097453949461055e-09
46,4.0,2.9151119378488097,-0.39070706688331647,0.9999999991445232,-8.554768005097912e-10
47,-4.0,-3.494960793276107,-0.7918172819884848,0.9999999953205958,-4.6794041974607126e-09
48,-4.0,-3.9448548864244266,0.1806725548873307,0.9999999945675194,-5.432480576494925e-09
49,1.329743188930308,1.5482824732921117,0.8148852602994716,0.9999999959487962,-4.051203816857196e-09
50,-0.1788056139823171,0.947742277745836,-0.5457616535025116,0.999999999007128,-9.928720068330676e-10
51,-4.0,-3.400459027404491,-0.5436978051178065,0.999999995812189,-4.187810986877594e-09
52,-1.7685788625547516,-1.9680509043473355,0.6902298570085241,0.9999999952450785,-4.754921456573413e-09
53,-1.2303599682054056,-2.000674357162773,0.7467818559987873,1.0000000072764264,7.276426350344423e-09
54,-2.3626405913431525,-2.959236113744499,0.6705998633090156,1.0000000004167264,4.167264311405461e-10
55,1.5479903636905772,1.162974394701604,0.16557724331412071,0.9999999955123584,-4.487641591666147e-09
56,0.3502695746249036,0.31986561002995284,-0.2546463541817442,0.9999999945513622,-5.448637763194597e-09
