quantity,start,reference_end,provider_end,absolute_error,pilot_gate,passed
Sigma_plus,0.5,0.49997065013291747,0.4999703640233973,2.861095201867059e-07,1e-05,1
Sigma_minus,0.05421584854046204,0.05421241240804693,0.05421237775348654,3.465456038798109e-08,1e-05,1
N1,0.2895849116215058,0.28956663131323995,0.2895663744489689,2.5686427107540766e-07,1e-05,1
